Mes;IPC;Tasa de política monetaria;Tasa Badlar;Tipo de Cambio Mayorista;M2;REM (mediana próximos 12 meses)
31/1/2007;1,1%;9,3%;9,2%;3,085;21,3%;10,2%
28/2/2007;0,3%;9,7%;7,9%;3,1026;20,7%;10,1%
31/3/2007;0,8%;9,6%;8,3%;3,101;22,2%;9,7%
30/4/2007;0,7%;9,4%;7,9%;3,0891;24,7%;9,9%
31/5/2007;0,4%;9,5%;7,7%;3,08;25,9%;9,9%
30/6/2007;0,4%;9,4%;7,9%;3,0793;26,6%;9,9%
31/7/2007;0,5%;9,5%;8,6%;3,1116;28,2%;10,0%
31/8/2007;0,6%;10,5%;10,5%;3,1524;28,3%;10,2%
30/9/2007;0,8%;10,6%;12,9%;3,1475;28,3%;10,3%
31/10/2007;0,7%;10,6%;12,6%;3,1604;28,7%;10,4%
30/11/2007;0,9%;10,6%;13,7%;3,1359;28,7%;10,0%
31/12/2007;0,9%;10,6%;13,5%;3,1397;28,6%;9,8%
31/1/2008;0,9%;10,7%;10,2%;3,1444;28,5%;10,0%
29/2/2008;0,5%;10,7%;8,3%;3,1583;28,1%;9,5%
31/3/2008;1,1%;10,7%;8,5%;3,1558;27,9%;9,5%
30/4/2008;0,8%;10,7%;8,7%;3,1665;26,3%;9,6%
31/5/2008;0,6%;10,9%;13,2%;3,1511;24,2%;9,5%
30/6/2008;0,6%;11,0%;17,4%;3,0434;19,8%;9,6%
31/7/2008;0,4%;11,2%;14,6%;3,0223;16,3%;9,5%
31/8/2008;0,5%;11,1%;12,3%;3,0333;13,8%;9,5%
30/9/2008;0,5%;11,6%;12,2%;3,0824;13,5%;9,4%
31/10/2008;0,4%;12,6%;16,7%;3,2385;12,7%;8,9%
30/11/2008;0,3%;12,4%;21,2%;3,3292;9,5%;8,9%
31/12/2008;0,3%;11,9%;19,1%;3,4226;9,2%;7,8%
31/1/2009;0,5%;12,6%;15,6%;3,464;8,2%;7,2%
28/2/2009;0,4%;13,3%;12,0%;3,5115;7,6%;7,0%
31/3/2009;0,6%;14,0%;12,3%;3,654;4,8%;6,9%
30/4/2009;0,3%;14,3%;12,8%;3,6934;2,0%;7,0%
31/5/2009;0,3%;14,5%;12,8%;3,7245;1,7%;6,5%
30/6/2009;0,4%;14,6%;12,9%;3,7681;5,1%;6,5%
31/7/2009;0,6%;14,5%;13,0%;3,8097;7,6%;6,7%
31/8/2009;0,8%;14,4%;12,7%;3,8392;6,9%;6,8%
30/9/2009;0,7%;14,3%;12,2%;3,8424;7,4%;7,2%
31/10/2009;0,8%;14,2%;11,8%;3,8262;8,1%;7,3%
30/11/2009;0,8%;13,7%;10,7%;3,811;11,8%;7,4%
31/12/2009;0,9%;13,2%;9,8%;3,807;14,4%;8,7%
31/1/2010;1,0%;13,0%;9,9%;3,8042;16,8%;8,9%
28/2/2010;1,2%;12,9%;9,5%;3,8512;17,2%;9,7%
31/3/2010;1,1%;12,9%;9,4%;3,8627;18,2%;10,5%
30/4/2010;0,8%;12,7%;9,3%;3,8761;21,0%;11,5%
31/5/2010;0,7%;12,7%;9,4%;3,902;22,5%;12,0%
30/6/2010;0,7%;12,8%;10,1%;3,9265;22,9%;11,2%
31/7/2010;0,8%;12,7%;10,3%;3,9348;24,7%;11,1%
31/8/2010;0,7%;12,8%;10,5%;3,9376;28,4%;11,1%
30/9/2010;0,7%;12,6%;10,6%;3,9519;30,2%;11,6%
31/10/2010;0,8%;12,0%;10,7%;3,957;32,2%;11,3%
30/11/2010;0,7%;11,7%;10,8%;3,9676;33,6%;12,0%
31/12/2010;0,8%;11,5%;11,1%;3,9776;33,4%;12,2%
31/1/2011;0,7%;11,7%;11,1%;3,9813;27,0%;12,0%
28/2/2011;0,7%;11,4%;11,1%;4,022;34,0%;12,5%
31/3/2011;0,8%;11,5%;11,2%;4,0372;36,6%;11,7%
30/4/2011;0,8%;11,6%;11,2%;4,0655;37,6%;12,0%
31/5/2011;0,7%;11,6%;11,2%;4,0839;38,7%;12,0%
30/6/2011;0,7%;11,8%;11,3%;4,096;38,8%;11,5%
31/7/2011;0,8%;11,7%;11,6%;4,1276;39,7%;11,7%
31/8/2011;0,8%;11,9%;12,4%;4,168;39,9%;11,4%
30/9/2011;0,8%;12,8%;13,1%;4,2042;38,0%;11,5%
31/10/2011;0,6%;13,4%;17,6%;4,2221;35,0%;11,1%
30/11/2011;0,6%;13,5%;19,9%;4,2601;32,6%;11,0%
31/12/2011;0,8%;13,5%;18,8%;4,2888;32,1%;11,3%
31/1/2012;0,9%;13,3%;15,9%;4,3206;36,6%;11,0%
29/2/2012;0,7%;12,5%;14,2%;4,3463;29,3%;10,8%
31/3/2012;0,9%;12,1%;12,9%;4,3563;29,5%;11,8%
30/4/2012;0,8%;12,2%;12,2%;4,3978;30,1%;11,8%
31/5/2012;0,8%;12,0%;11,7%;4,4504;30,0%;11,1%
30/6/2012;0,7%;12,1%;12,1%;4,4978;31,5%;11,3%
31/7/2012;0,8%;12,5%;13,2%;4,5528;32,6%;11,3%
31/8/2012;0,9%;13,2%;13,9%;4,6098;31,8%;10,0%
30/9/2012;0,9%;13,3%;14,3%;4,6699;32,7%;10,0%
31/10/2012;0,8%;13,6%;14,9%;4,7299;34,8%;sin_datos
30/11/2012;0,9%;13,4%;15,3%;4,7974;35,6%;sin_datos
31/12/2012;1,0%;13,5%;15,4%;4,88;36,3%;sin_datos
31/1/2013;1,1%;13,5%;15,1%;4,9486;37,8%;sin_datos
28/2/2013;0,5%;13,6%;14,8%;5,0111;37,4%;sin_datos
31/3/2013;0,7%;14,0%;14,9%;5,084;35,5%;sin_datos
30/4/2013;0,7%;14,1%;15,1%;5,1555;34,9%;sin_datos
31/5/2013;0,7%;15,4%;15,8%;5,2399;32,8%;sin_datos
30/6/2013;0,8%;15,9%;16,6%;5,3292;30,7%;sin_datos
31/7/2013;0,9%;15,9%;17,3%;5,4409;30,0%;sin_datos
31/8/2013;0,8%;15,8%;17,7%;5,5814;28,0%;sin_datos
30/9/2013;0,8%;15,8%;18,1%;5,7371;27,7%;sin_datos
31/10/2013;0,9%;15,8%;18,8%;5,8482;28,0%;sin_datos
30/11/2013;0,9%;15,8%;19,1%;6,0149;27,3%;sin_datos
31/12/2013;1,4%;15,9%;20,2%;6,3192;25,9%;sin_datos
31/1/2014;3,6%;20,9%;21,9%;7,0967;23,7%;sin_datos
28/2/2014;3,4%;27,5%;25,6%;7,8565;21,4%;sin_datos
31/3/2014;2,6%;27,6%;26,2%;7,9313;19,7%;sin_datos
30/4/2014;1,8%;27,0%;26,3%;8,0013;18,5%;sin_datos
31/5/2014;1,4%;25,9%;24,7%;8,0427;18,8%;sin_datos
30/6/2014;1,3%;25,9%;23,1%;8,1255;19,8%;sin_datos
31/7/2014;1,4%;25,9%;22,0%;8,1606;21,2%;sin_datos
31/8/2014;1,3%;25,7%;21,2%;8,3164;22,5%;sin_datos
30/9/2014;1,4%;26,7%;20,3%;8,4193;23,3%;sin_datos
31/10/2014;1,2%;26,7%;20,0%;8,4803;23,3%;sin_datos
30/11/2014;1,1%;26,6%;19,8%;8,514;23,5%;sin_datos
31/12/2014;1,0%;26,6%;20,0%;8,5495;25,5%;sin_datos
31/1/2015;1,1%;26,5%;20,2%;8,6024;27,1%;sin_datos
28/2/2015;0,9%;26,3%;20,7%;8,6859;29,5%;sin_datos
31/3/2015;1,3%;26,2%;20,9%;8,779;32,2%;sin_datos
30/4/2015;1,1%;26,1%;20,8%;8,8657;33,7%;sin_datos
31/5/2015;1,0%;25,7%;20,3%;8,9487;34,9%;sin_datos
30/6/2015;1,0%;25,7%;20,5%;9,0416;36,0%;sin_datos
31/7/2015;1,3%;25,7%;20,7%;9,1425;35,9%;sin_datos
31/8/2015;1,2%;25,7%;21,0%;9,2433;35,9%;sin_datos
30/9/2015;1,2%;25,7%;21,2%;9,3652;36,0%;sin_datos
31/10/2015;1,1%;26,8%;21,6%;9,4896;35,7%;sin_datos
30/11/2015;2,0%;28,4%;23,4%;9,6272;36,5%;sin_datos
31/12/2015;3,9%;31,1%;27,3%;11,4278;37,9%;sin_datos
31/1/2016;4,1%;28,3%;26,3%;13,6548;32,5%;sin_datos
29/2/2016;2,7%;28,2%;26,2%;14,8146;28,8%;sin_datos
31/3/2016;3,0%;32,2%;29,7%;14,9615;28,1%;sin_datos
30/4/2016;3,4%;32,5%;30,7%;14,4095;26,3%;sin_datos
31/5/2016;4,2%;30,8%;31,0%;14,1377;24,3%;sin_datos
30/6/2016;3,1%;28,0%;28,9%;14,1408;22,0%;21,5%
31/7/2016;2,0%;27,3%;26,0%;14,9094;21,0%;21,7%
31/8/2016;0,2%;26,4%;24,8%;14,8498;20,2%;21,9%
30/9/2016;1,1%;24,6%;23,1%;15,1007;19,4%;21,1%
31/10/2016;2,4%;24,3%;22,1%;15,181;19,7%;19,4%
30/11/2016;1,6%;23,5%;21,1%;15,3399;21,2%;20,0%
31/12/2016;1,2%;23,1%;20,0%;15,8296;22,2%;19,6%
31/1/2017;1,3%;21,8%;19,8%;15,9065;28,6%;19,7%
28/2/2017;2,5%;21,0%;20,1%;15,5983;30,7%;19,5%
31/3/2017;2,4%;21,5%;19,5%;15,5237;31,9%;18,4%
30/4/2017;2,6%;22,6%;19,2%;15,36;31,9%;17,5%
31/5/2017;1,3%;23,3%;19,6%;15,6981;32,9%;17,0%
30/6/2017;1,2%;24,3%;19,8%;16,1166;34,5%;17,0%
31/7/2017;1,7%;25,1%;20,2%;17,169;35,4%;17,1%
31/8/2017;1,4%;25,5%;20,8%;17,4165;35,8%;17,2%
30/9/2017;1,9%;26,0%;21,3%;17,2465;36,2%;16,9%
31/10/2017;1,5%;27,1%;21,6%;17,4528;36,1%;17,3%
30/11/2017;1,4%;28,0%;22,6%;17,4925;34,9%;17,5%
31/12/2017;3,1%;26,7%;23,3%;17,7001;33,0%;17,4%
31/1/2018;1,8%;25,2%;23,0%;19,029;31,8%;18,6%
28/2/2018;2,4%;24,9%;22,8%;19,8409;30,9%;17,6%
31/3/2018;2,3%;24,8%;22,8%;20,2378;29,3%;17,8%
30/4/2018;2,7%;33,2%;22,8%;20,2349;29,2%;18,2%
31/5/2018;2,1%;40,6%;28,3%;23,6687;27,8%;22,2%
30/6/2018;3,7%;42,6%;30,6%;26,5342;24,6%;24,2%
31/7/2018;3,1%;42,6%;34,5%;27,6247;23,1%;23,7%
31/8/2018;3,9%;44,2%;35,2%;30,1245;20,0%;31,5%
30/9/2018;6,5%;54,1%;41,9%;38,59;19,9%;31,9%
31/10/2018;5,4%;73,2%;50,5%;37,1202;17,6%;30,6%
30/11/2018;3,2%;65,3%;51,4%;36,459;13,0%;28,6%
31/12/2018;2,6%;60,4%;48,6%;37,8852;13,6%;28,7%
31/1/2019;2,9%;58,5%;45,8%;37,4069;14,6%;28,5%
28/2/2019;3,8%;48,3%;37,6%;38,4086;13,1%;29,0%
31/3/2019;4,7%;63,7%;41,7%;41,3624;14,5%;30,7%
30/4/2019;3,4%;69,9%;48,7%;43,2338;17,3%;31,4%
31/5/2019;3,1%;73,5%;52,6%;44,9332;19,8%;31,0%
30/6/2019;2,7%;68,2%;50,9%;43,7894;23,2%;30,0%
31/7/2019;2,2%;60,7%;48,6%;42,5434;24,1%;30,2%
31/8/2019;4,0%;72,9%;55,4%;52,7271;25,3%;48,3%
30/9/2019;5,9%;85,8%;60,0%;56,5014;28,9%;48,0%
31/10/2019;3,3%;71,7%;55,1%;58,5308;34,0%;48,2%
30/11/2019;4,3%;64,8%;46,0%;59,7381;36,8%;45,6%
31/12/2019;3,7%;62,5%;42,0%;59,8832;40,3%;42,2%
31/1/2020;2,3%;52,7%;36,2%;60,011;43,9%;40,0%
29/2/2020;2,0%;45,3%;33,6%;61,3484;55,7%;39,9%
31/3/2020;3,3%;38,5%;29,6%;63,1227;60,5%;39,5%
30/4/2020;1,5%;38,0%;20,0%;65,762;78,0%;49,0%
31/5/2020;1,5%;38,0%;23,4%;67,7255;95,0%;51,0%
30/6/2020;2,2%;38,0%;29,5%;69,5407;102,2%;52,5%
31/7/2020;1,9%;38,0%;29,5%;71,4749;104,3%;51,9%
31/8/2020;2,7%;38,0%;29,7%;73,293;105,7%;51,2%
30/9/2020;2,8%;38,0%;29,7%;75,1986;97,1%;50,5%
31/10/2020;3,8%;36,9%;30,7%;77,5693;91,1%;52,1%
30/11/2020;3,2%;37,0%;32,9%;79,9332;95,7%;52,5%
31/12/2020;4,0%;38,0%;34,2%;82,6379;89,3%;49,8%
31/1/2021;4,0%;38,0%;34,1%;85,9708;78,1%;49,4%
28/2/2021;3,6%;38,0%;34,1%;88,6746;68,2%;45,0%
31/3/2021;4,8%;38,0%;34,1%;91,0664;63,9%;43,1%
30/4/2021;4,1%;38,0%;34,1%;92,8638;46,5%;43,3%
31/5/2021;3,3%;38,0%;34,1%;94,1048;32,4%;43,3%
30/6/2021;3,2%;38,0%;34,1%;95,2543;31,1%;42,9%
31/7/2021;3,0%;38,0%;34,1%;96,2378;32,0%;43,2%
31/8/2021;2,5%;38,0%;34,2%;97,2138;34,6%;43,7%
30/9/2021;3,5%;38,0%;34,2%;98,285;39,7%;45,6%
31/10/2021;3,5%;38,0%;34,1%;99,2491;43,6%;48,6%
30/11/2021;2,5%;38,0%;34,2%;100,3101;47,1%;52,3%
31/12/2021;3,8%;38,0%;34,2%;101,8885;51,6%;54,8%
31/1/2022;3,9%;39,8%;36,9%;103,9846;56,4%;53,9%
28/2/2022;4,7%;40,8%;38,3%;106,3071;57,8%;52,9%
31/3/2022;6,7%;43,1%;40,5%;109,4585;56,8%;55,4%
30/4/2022;6,0%;45,8%;43,3%;113,3345;56,9%;56,1%
31/5/2022;5,1%;48,2%;45,5%;117,7737;61,0%;60,1%
30/6/2022;5,3%;50,6%;48,2%;122,7357;61,5%;68,8%
31/7/2022;7,4%;52,9%;51,1%;128,4454;66,0%;83,7%
31/8/2022;7,0%;65,8%;60,5%;135,2903;65,1%;90,5%
30/9/2022;6,2%;72,1%;66,5%;143,6252;62,6%;94,1%
31/10/2022;6,3%;75,2%;69,1%;152,5929;63,5%;98,8%
30/11/2022;4,9%;75,2%;69,2%;162,1183;60,7%;100,7%
31/12/2022;5,1%;74,1%;69,3%;172,9032;65,5%;98,4%
31/1/2023;6,0%;74,3%;69,5%;182,2441;68,8%;98,5%
28/2/2023;6,6%;74,5%;69,8%;191,8924;73,8%;103,5%
31/3/2023;7,7%;76,5%;71,0%;203,1055;82,8%;113,3%
30/4/2023;8,4%;80,6%;74,2%;216,5559;83,1%;146,5%
31/5/2023;7,8%;94,5%;90,0%;231,1908;87,9%;171,1%
30/6/2023;6,0%;97,3%;92,4%;248,7617;88,9%;161,4%
31/7/2023;6,3%;96,2%;92,6%;266,4647;83,9%;154,9%
31/8/2023;12,4%;109,9%;104,0%;322,1341;91,2%;197,5%
30/9/2023;12,7%;118,4%;113,7%;349,998;102,3%;185,9%
31/10/2023;8,3%;126,8%;122,1%;350,0204;117,8%;195,6%
30/11/2023;12,8%;133,5%;129,4%;353,8404;131,2%;226,7%
31/12/2023;25,5%;133,5%;121,2%;641,9947;124,5%;213,0%
31/1/2024;20,6%;104,1%;109,2%;818,3455;164,0%;183,2%
29/2/2024;13,2%;104,1%;108,9%;834,914;165,2%;146,9%
31/3/2024;11,0%;90,6%;85,4%;850,3377;149,0%;120,0%
30/4/2024;8,8%;73,1%;62,7%;868,9583;153,3%;88,0%
31/5/2024;4,2%;44,4%;35,6%;886,8636;152,3%;68,9%
30/6/2024;4,6%;40,7%;33,4%;903,7794;166,8%;63,3%
31/7/2024;4,0%;40,7%;36,9%;923,7652;187,2%;53,7%
31/8/2024;4,2%;40,7%;38,8%;942,9204;178,1%;44,7%
30/9/2024;3,5%;40,7%;39,4%;961,8254;163,5%;40,9%
31/10/2024;2,7%;40,7%;40,5%;981,5682;137,8%;35,0%
30/11/2024;2,4%;35,5%;36,2%;1.001,84;121,9%;29,4%
31/12/2024;2,7%;33,1%;32,9%;1.020,71;124,4%;25,9%
31/1/2025;2,2%;32,3%;31,5%;1.043,56;90,6%;21,9%
28/2/2025;2,4%;29,3%;28,5%;1.058,46;81,0%;22,2%
31/3/2025;3,7%;29,3%;29,5%;1.069,03;83,4%;24,5%
30/4/2025;2,8%;29,3%;33,2%;1.121,57;89,1%;26,3%
31/5/2025;1,5%;29,3%;32,8%;1.147,53;90,0%;20,9%
30/6/2025;1,6%;29,3%;32,2%;1.181,36;70,9%;20,8%
31/7/2025;1,9%;29,3%;32,5%;1.267,02;56,1%;21,1%
31/8/2025;1,9%;29,3%;48,0%;1.329,54;48,5%;20,9%
30/9/2025;2,1%;29,3%;48,4%;1.399,90;42,0%;21,9%
31/10/2025;2,3%;29,3%;46,2%;1.432,02;42,3%;20,8%
30/11/2025;2,5%;29,3%;32,0%;1.427,62;37,6%;21,0%
31/12/2025;2,8%;29,3%;26,5%;1.447,84;39,1%;20,1%
31/1/2026;2,9%;29,3%;31,2%;1.449,33;31,4%;21,0%
28/2/2026;2,9%;29,3%;30,8%;1.409,66;27,1%;22,3%
31/3/2026;3,4%;29,3%;27,6%;1.396,34;27,1%;23,8%
30/4/2026;2,6%;29,3%;22,4%;1.381,45;20,2%;24,2%
;;;;;;
