model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"SARIMAX(1, 0, 0) con X",1,-0.11595885452781177,1.2074826826832368,1.2185141732612712,1.1038632946435312,0.8884086788086163,0.6264696125628536,0.8,0.956,2.8738348448222615,4.395151115885293,3.8734858014534392,5.067547541620552
"SARIMAX(1, 0, 0) con X",2,-0.1697715435558087,2.146775862087697,2.171304687364846,1.473534759469503,1.1837140471703989,0.8341495136017059,0.78,0.948,3.709693903766037,5.673487232610456,5.1403689268465245,6.791123569409183
"SARIMAX(1, 0, 0) con X",3,-0.1836386767482336,2.947074824429103,2.974903838378092,1.724790954979209,1.3863082765862556,0.9787101849380074,0.774,0.93,4.189636072190329,6.407495438026611,6.081080660575709,8.222128772855502
"SARIMAX(1, 0, 0) con X",4,-0.16813198440256347,3.528713323090803,3.5499242606237744,1.884124268890928,1.5146130506205517,1.068983879200437,0.76,0.932,4.498702004060227,6.880170991316509,6.6732752132033095,9.13665062034072
"SARIMAX(1, 0, 0) con X",5,-0.21759667840564598,3.4968522709178376,3.5372068808291752,1.8807463627052892,1.493124900701599,1.0654610686249917,0.78,0.932,4.710020972783266,7.203355464795961,6.715797154031146,9.075116487451716
"SARIMAX(1, 0, 0) con X",6,-0.19148856315434684,3.6819206903136594,3.7112247187519536,1.9264539233399676,1.5171874897612558,1.0854541510714604,0.79,0.926,4.860233680310296,7.433085976379483,6.994708632284874,9.59906995883094
"SARIMAX(1, 0, 0) con X",7,-0.10979494541436723,3.893425877827037,3.8976939561099284,1.9742578241227584,1.5812401987836848,1.118374837804913,0.79,0.942,4.97005686892247,7.60104604925858,6.95353482158036,9.950170869636574
"SARIMAX(1, 0, 0) con X",8,-0.15381894997754983,4.184500748855417,4.199792016729903,2.0493394098415965,1.6318437565781734,1.1631914879931686,0.758,0.936,5.052119190964307,7.726549540506235,7.3563673158031815,9.441916267144663
"SARIMAX(1, 0, 0) con X",9,-0.15023911964798445,4.2073967842495,4.221553783753598,2.054642008660778,1.6360049503691472,1.1646567577855231,0.774,0.932,5.114529846680959,7.821998401671796,7.354048483524133,10.28564973853859
"SARIMAX(1, 0, 0) con X",10,-0.168403384872679,4.338155187884211,4.35783857754502,2.0875436708114683,1.6519752861057488,1.180328022348502,0.784,0.926,5.162700370385355,7.895668860290388,7.539044505849764,10.519392658543945
