model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"SARIMAX(1, 0, 0) con X",1,0.05419722454364328,1.3994703698858815,1.3996087682943428,1.1830506194978907,0.9507006880712554,0.6656693449742622,0.788,0.946,2.9330726246972,4.485747482196659,4.111508482064601,5.630987743383368
"SARIMAX(1, 0, 0) con X",2,-0.013604715788745997,3.535489416823792,3.5286035262818354,1.8784577520620034,1.489610632392262,1.063638507206282,0.716,0.908,4.082932522847406,6.244306441690097,6.721733967901639,9.37584737606594
"SARIMAX(1, 0, 0) con X",3,0.03331225210878377,6.1992904138611715,6.188001539174011,2.4875694038908764,2.0146612560720873,1.4296742086476522,0.672,0.884,4.9248016642016434,7.531834186271152,8.990358025122635,12.919717252021304
"SARIMAX(1, 0, 0) con X",4,0.04655460075343052,9.197417373235682,9.181189869340526,3.0300478328469547,2.4530470666112927,1.7571183757305204,0.642,0.842,5.603429716049443,8.569706228474194,11.322197036168175,16.986334176939607
"SARIMAX(1, 0, 0) con X",5,0.04899828997658908,12.930291562344353,12.906831811640297,3.5926079401515962,2.862554035294432,2.090066709962288,0.61,0.806,6.176166032948081,9.445630837315369,14.006506857449228,22.43781784149668
"SARIMAX(1, 0, 0) con X",6,0.0729666324768379,16.366623790047207,16.3392146719221,4.042179445784427,3.2362501320844492,2.384479684577414,0.584,0.78,6.6730436362954615,10.205539555363398,16.23466334475738,26.67755650055721
"SARIMAX(1, 0, 0) con X",7,0.07118689358027969,20.211263674622273,20.175908721090654,4.491760091666813,3.6177208076479452,2.6804735130040656,0.55,0.748,7.112249398829583,10.877246804227395,18.405067119997604,30.578905180128825
"SARIMAX(1, 0, 0) con X",8,-0.024824491555574417,23.97101787355595,23.923692093189825,4.891185141986534,3.9424391584562026,2.935234195048173,0.538,0.732,7.505841028590371,11.47919325701783,20.382278024707347,34.648812636250476
"SARIMAX(1, 0, 0) con X",9,-0.0029765959347899927,28.204248402941978,28.147848766259536,5.305454623899778,4.294454079935172,3.1992735575267304,0.532,0.72,7.862324857993865,12.024388226527167,22.299200358866166,39.437136497021385
"SARIMAX(1, 0, 0) con X",10,-0.01271832610514722,32.4487607141175,32.38402494850818,5.690696350053144,4.562508116707982,3.4282107466121916,0.514,0.704,8.187979336094973,12.522433771975926,24.244048873898212,44.25889444387769
"SARIMAX(1, 0, 0) con X",11,0.0739933345487485,36.626405818331136,36.55862802025214,6.04637312942661,4.8391214016990975,3.6510649580695067,0.504,0.702,8.48760039122581,12.980664632797193,25.89125517198497,48.94864314784863
"SARIMAX(1, 0, 0) con X",12,0.06024808158866228,41.13458689789622,41.05594755543555,6.407491518171176,5.137664001374479,3.8786785577094407,0.506,0.704,8.764951470787278,13.404836505103205,27.66090598293156,54.124536259174356
"SARIMAX(1, 0, 0) con X",13,-0.029924488859694662,46.29235043029974,46.20066120447265,6.797106826030665,5.446258874322087,4.12711950288321,0.506,0.684,9.023050475764533,13.799564870158173,29.70162038589801,59.31133201704452
"SARIMAX(1, 0, 0) con X",14,-0.017228086265612782,50.786585910963076,50.68530954609754,7.119361596807507,5.692567468881178,4.333183783437966,0.48,0.668,9.264360896641337,14.168617311533612,31.403861091216655,63.316546795270064
"SARIMAX(1, 0, 0) con X",15,-0.018072274150915432,56.57582071108624,56.46299567675715,7.514186295052656,6.053286555592883,4.612753018979517,0.46,0.656,9.490923805822225,14.515115380098216,33.450424138022946,68.30020430283943
"SARIMAX(1, 0, 0) con X",16,0.06674906007738383,62.44515501465024,62.324720141642196,7.894600695516031,6.352240285231679,4.863450349258731,0.458,0.65,9.704451796857887,14.841678261665352,35.61016017679575,73.6024615446132
"SARIMAX(1, 0, 0) con X",17,0.036431714549760054,68.45808764116136,68.32249873570414,8.265742479396764,6.6225850406294615,5.103773416758252,0.424,0.636,9.906397573035882,15.150527674190265,37.60791545626953,78.60636826419046
