model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"SARIMAX(1, 0, 0) con X",1,0.05301315188806622,1.0273397281726337,1.0280954429893976,1.0139504144628562,0.8033268627251783,0.5710640208197897,0.816,0.95,2.6227410242593763,4.01113625587091,3.571395524551914,4.8928691060814264
"SARIMAX(1, 0, 0) con X",2,0.002121815319051003,1.6709379054483602,1.6676005317377123,1.2913560824721089,1.0247090676251494,0.7300076158461223,0.76,0.926,3.0949687150901455,4.73334618593916,4.632206219705109,6.154462345763855
"SARIMAX(1, 0, 0) con X",3,0.08317881482732709,1.8009570899144345,1.8042738909706835,1.3432326272729842,1.0908752039659304,0.7669083654712913,0.762,0.93,3.273744974763413,5.0067608808066915,4.729852015252284,6.355952687832597
"SARIMAX(1, 0, 0) con X",4,0.050833499206815506,2.00613316448482,2.004704942797461,1.4158760336969691,1.145620878610013,0.8083178991819543,0.762,0.918,3.3509037043263272,5.124764974517823,5.070509401560671,6.831384439655763
"SARIMAX(1, 0, 0) con X",5,-0.02086071847261961,2.0326073274757492,2.028977282395991,1.4244217361427727,1.1651575396829004,0.8165439794207899,0.74,0.932,3.3868235899817587,5.179699699039454,5.022650698941347,6.375332609017205
"SARIMAX(1, 0, 0) con X",6,-0.03608186579118169,2.2508262703872517,2.24762651888545,1.4992086308734518,1.1901898971741907,0.844196054061635,0.762,0.914,3.4044741119938875,5.206693842999155,5.3551815371115605,7.458645463473645
"SARIMAX(1, 0, 0) con X",7,0.021051704655444193,2.3256885209221254,2.32148031814918,1.5236404819212372,1.2337136684778816,0.8686077596225483,0.732,0.92,3.413522758220628,5.220532553192387,5.314676424812563,7.5575254916045145
"SARIMAX(1, 0, 0) con X",8,-0.040840793621219486,2.21782495989471,2.2150572803985322,1.4883068502155503,1.1886642263796396,0.845026386263508,0.744,0.914,3.418326612465021,5.227879414262307,5.394215969486977,7.310217444764205
"SARIMAX(1, 0, 0) con X",9,-0.030192149914989416,2.4688490937684984,2.4648229614974504,1.5699754652533429,1.2489635275511897,0.896668655767126,0.72,0.88,3.4209539247769936,5.2318975416994205,5.790857129453444,8.043260150817627
"SARIMAX(1, 0, 0) con X",10,-0.05150283574682976,2.273704515642917,2.271809648701599,1.5072523507036235,1.2087579954532128,0.8649062697198333,0.708,0.906,3.42242842326686,5.23415259254022,5.45260728464454,7.557920505968016
"SARIMAX(1, 0, 0) con X",11,-0.09884432148733442,2.2817820484061295,2.28698868419961,1.5122793009889444,1.210383747707389,0.8675569618113289,0.718,0.902,3.4232749381316756,5.235447225305707,5.50352883917453,7.592843458594052
"SARIMAX(1, 0, 0) con X",12,-0.05011073869349669,1.964219261754554,1.9628019093634552,1.40100032454081,1.1115795754656477,0.7936945676507171,0.78,0.916,3.423770803066706,5.236205585281216,5.048362798878896,6.827810191404034
"SARIMAX(1, 0, 0) con X",13,-0.011615812276033177,2.1155143089507247,2.111418207427655,1.4530719897608841,1.1629845018317682,0.8275517571065911,0.746,0.92,3.424066519867347,5.236657845100064,5.2108079732799455,7.3671879799548705
"SARIMAX(1, 0, 0) con X",14,0.003770241253105576,2.326246521152805,2.3216082428296057,1.5236824612856859,1.2102076658028227,0.8671501270706389,0.746,0.896,3.4242457205741834,5.236931908930846,5.571012386742672,7.9043960800012965
"SARIMAX(1, 0, 0) con X",15,0.039809814697200754,2.1867193950070782,2.183930777563293,1.4778128357688916,1.1892109321348898,0.849336262845298,0.728,0.91,3.4243558790828312,5.237100381831476,5.33695670608006,7.144720954144663
"SARIMAX(1, 0, 0) con X",16,0.08475882349865749,2.27770611300901,2.2803347589438685,1.5100777327488373,1.19130444690365,0.8517843742796597,0.752,0.91,3.424424468066346,5.237205279629613,5.525373243873933,7.868562256214495
