model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"AR(1)+GARCH(1,1) con X",1,0.0303287561678877,7.4255755114041,7.41164419383199,2.722433505860518,2.0536455286722703,1.4914024625459044,0.782,0.932,6.587646308429022,10.07493561285012,9.726245726767347,13.744213884502043
"AR(1)+GARCH(1,1) con X",2,-0.0381880051839197,8.186723060818798,8.171807938437096,2.8586374268936408,2.210202375117316,1.6009083314312305,0.774,0.93,7.113660882824217,10.87940548271419,10.447760780642415,14.631567305596104
"AR(1)+GARCH(1,1) con X",3,-0.1748066097436956,8.350007111290902,8.363864447878422,2.892034655372999,2.2265344002753014,1.5801571322473456,0.816,0.94,7.23422925807876,11.063798900448411,10.132833054967968,14.00818999741804
"AR(1)+GARCH(1,1) con X",4,-0.2142551350314267,7.9036778439903,7.933775751189636,2.8166958925644843,2.1275900630701847,1.5494168039807097,0.842,0.928,7.283543227997209,11.139218109143124,10.271595182182493,15.09020940590206
"AR(1)+GARCH(1,1) con X",5,-0.0565240755321539,7.541988448151138,7.530099442369612,2.744102666149649,2.0964391037308,1.522541119699696,0.828,0.932,7.315176290756227,11.187596703805475,9.95684733702792,14.49838341992613
"AR(1)+GARCH(1,1) con X",6,-0.0062103442577835,8.562909830327477,8.545822579042614,2.9233238922573417,2.2517003121584325,1.626982919133387,0.806,0.932,7.340063038315828,11.2256576997268,10.550038928674486,15.027780037577394
"AR(1)+GARCH(1,1) con X",7,-0.067027959625082,9.382447331824578,9.368175184532438,3.060747487874888,2.3213711767777108,1.6841375546993131,0.792,0.926,7.361171577207328,11.257940424125788,11.183334129298895,17.146578290614165
"AR(1)+GARCH(1,1) con X",8,0.252604357074924,10.230731594518891,10.27407909254309,3.205320435236248,2.411868775707043,1.746526593403912,0.794,0.914,7.379644258281314,11.286191951864785,11.524479455816085,17.833126091583985
"AR(1)+GARCH(1,1) con X",9,0.0856685216245729,10.149251265350497,10.13629185841712,3.183754365276492,2.3956412323940373,1.7413467798920756,0.79,0.916,7.3960771500329825,11.311323891039958,11.43122360771746,17.65829884452039
"AR(1)+GARCH(1,1) con X",10,-0.1671786182020859,9.787784606946088,9.796157728116142,3.129881423970586,2.4081850148903747,1.737244273638178,0.766,0.926,7.410847230042195,11.333912779107468,11.00131477494147,15.988235280243163
"AR(1)+GARCH(1,1) con X",11,-0.0333984672030625,9.3145747332879,9.297061041432858,3.0491082370806155,2.4093187951282133,1.7074320365469575,0.784,0.926,7.42422063890768,11.354365642988714,10.938881874954792,15.135409257119854
"AR(1)+GARCH(1,1) con X",12,-0.1707495483141642,8.276591269691215,8.289193495401326,2.8790959510584786,2.2955631160061563,1.6222940479043322,0.806,0.942,7.4363985387016,11.372990133524366,10.09213155980892,13.73796904570558
"AR(1)+GARCH(1,1) con X",13,-0.0299017768011043,9.790915561055064,9.772227846188812,3.126056276874876,2.3907870971939915,1.73209754253942,0.786,0.912,7.447540220461591,11.390029865333736,11.350353347631309,16.783846096366034
"AR(1)+GARCH(1,1) con X",14,-0.146144924201892,9.328367490056872,9.331069093946727,3.054679867669725,2.361228597897481,1.6980001070199646,0.8,0.924,7.457776026106602,11.405684179179824,11.033100641643834,16.092563350080336
"AR(1)+GARCH(1,1) con X",15,0.1547520873013512,9.12447795204603,9.130177204666063,3.0216183088977444,2.2713675378431653,1.6704777862323243,0.812,0.928,7.467215089295251,11.42011998059035,11.131566834589831,17.01948349807129
"AR(1)+GARCH(1,1) con X",16,0.0619890753367226,8.54945645876966,8.536200191313219,2.921677633024085,2.184411838229741,1.5974702721401342,0.818,0.93,7.475950247981307,11.433479252963162,10.659094321505467,15.767910773463244
"AR(1)+GARCH(1,1) con X",17,-0.0643117970598734,9.08966324878427,9.075619929527782,3.012576958274723,2.2964779867943124,1.6680541367501314,0.802,0.932,7.484061341765283,11.445884100430272,11.017137270751224,16.886522709963693
"AR(1)+GARCH(1,1) con X",18,0.1132492004305193,8.646833428928385,8.64236514346869,2.939789982884609,2.220948535710878,1.6381092966374005,0.81,0.918,7.491617549490991,11.4574403229033,11.031654465643411,16.332205262466005
"AR(1)+GARCH(1,1) con X",19,0.2273170230341459,9.670612630299685,9.702944434000182,3.114954965003536,2.422306789827751,1.7520656959693728,0.772,0.916,7.498679131244473,11.468240080230917,11.45486361330647,16.81821650306028
"AR(1)+GARCH(1,1) con X",20,0.1118409191871932,9.02694669936705,9.021401197172954,3.00356474829043,2.3130688788163023,1.6768782227255752,0.792,0.928,7.505298782078881,11.47836396254239,10.976133751210796,16.25714833734437
"AR(1)+GARCH(1,1) con X",21,0.1989294435529378,7.856075828329691,7.879936600185308,2.807122476876509,2.174111209248723,1.5889305510880762,0.788,0.94,7.511522718942507,11.487882652560591,10.482626963316442,14.230400429886611
"AR(1)+GARCH(1,1) con X",22,0.092347341734944,7.936536406364758,7.929191365077536,2.8158819870650715,2.1637696882426534,1.5840992603993704,0.814,0.932,7.517391574633196,11.496858292787255,10.5709722684961,15.21387091686857
"AR(1)+GARCH(1,1) con X",23,-0.0630972241126022,8.632071098311615,8.618788215805706,2.935777276260191,2.2468240154867423,1.6315294191797791,0.792,0.934,7.522941145685382,11.50534562929744,10.87004544636613,15.561322908339465
"AR(1)+GARCH(1,1) con X",24,-0.0603812683595031,8.544476825619366,8.531033769536839,2.920793345914229,2.220108214329871,1.6255544144923826,0.808,0.932,7.528203025525274,11.513392980066946,10.776577210977033,15.976206287432351
"AR(1)+GARCH(1,1) con X",avg_all,0.0015354571590353,8.804529009813931,8.80370532267009,2.9641512402763195,2.269727928481227,1.644735698345707,0.7989166666666667,0.9279166666666666,7.382953135532713,11.291252442926057,10.775450522843258,15.726652413918798
Chronos-2 (con X),1,0.0377026530762981,8.114179222447541,8.099372354051642,2.8459396258620178,2.141792214379999,1.556946275226024,0.782,0.948,6.722064208984375,11.24014395046234,10.160131817843794,14.472232369294536
Chronos-2 (con X),2,-0.0635424888846142,8.871828166915217,8.858122158475028,2.976259759912604,2.3112343199277525,1.6593482315078454,0.782,0.944,7.100203125,11.797128063201905,10.75114115574131,15.306850891541478
Chronos-2 (con X),3,-0.1887268529836832,9.213072651741468,9.230264331475103,3.0381350087636174,2.317876565238498,1.6626567380237696,0.8,0.946,7.2663369140625,12.103747250556946,10.857659393266124,15.348687330975238
Chronos-2 (con X),4,-0.2421116250119462,8.754432443099864,8.795541617179579,2.965727839364155,2.2787287236255733,1.6384810924932314,0.808,0.94,7.340179443359375,12.174454261779784,10.812796664688166,15.06274779181676
Chronos-2 (con X),5,-0.0859283842656286,8.50387590377937,8.49425183919431,2.914489979257831,2.244803361104915,1.618820221316328,0.816,0.948,7.376578002929688,12.23112007045746,10.455047994074487,14.799531433928632
Chronos-2 (con X),6,-0.0559147384884548,9.22440218782932,9.209079841433894,3.034646576033837,2.3317377313840613,1.678103998981261,0.796,0.946,7.408904296875,12.266202587127683,10.721046070362387,15.264840600499332
Chronos-2 (con X),7,-0.1038993863745436,10.240323109477949,10.230637545748,3.19853678199079,2.389474573074408,1.745974706626834,0.78,0.936,7.41186083984375,12.30110908985138,11.535217252035194,17.932712282280082
Chronos-2 (con X),8,0.196194790340283,11.074112054476164,11.090456226123877,3.330233659388463,2.488951730789002,1.80024981282698,0.766,0.938,7.40565380859375,12.288214086532593,11.876781959955514,17.7989503524881
Chronos-2 (con X),9,0.0678912294943881,10.780743832625948,10.763791564002949,3.28082178181061,2.492640332713235,1.7982606257565563,0.764,0.932,7.3772900390625,12.27810959815979,11.745611481605795,17.1803587828254
Chronos-2 (con X),10,-0.2081688639398585,10.196909322391518,10.21984977966076,3.196849977659377,2.4624072154288075,1.7777198272403916,0.734,0.942,7.39815625,12.405661385536192,11.365003684897452,14.833709206344365
Chronos-2 (con X),11,-0.0753167129537289,9.63383942857955,9.62024435697254,3.1016518755289963,2.446947805727582,1.7321068267779014,0.776,0.95,7.405912109375,12.326354702949525,10.97360666267285,15.220699972311014
Chronos-2 (con X),12,-0.2303067188396934,8.840472419881236,8.875832659784185,2.9792335691892613,2.359268598356912,1.6665166941827043,0.784,0.958,7.429671630859375,12.358954347610474,10.364677300088776,13.836634026000564
Chronos-2 (con X),13,-0.0594835472508122,10.857824578986564,10.839647222222135,3.292361951885323,2.49221185409188,1.7915022357350483,0.776,0.95,7.442692626953125,12.387396724700928,11.56020452733188,16.998720755270867
Chronos-2 (con X),14,-0.1924744918406024,9.788673799983096,9.80614288239242,3.131476150698328,2.45047799760295,1.743047269673362,0.784,0.944,7.46740625,12.44382250404358,11.092084060232114,15.44185955139688
Chronos-2 (con X),15,0.093040975706665,9.836799759649058,9.825782783290206,3.1346104675525805,2.3591355913847525,1.7214343633307974,0.79,0.936,7.41373486328125,12.420409442901612,11.438014551174836,16.540560454357212
Chronos-2 (con X),16,-0.0208569662438681,9.20494054296046,9.186965674915427,3.031000771183576,2.30479775022464,1.6617962019038692,0.796,0.95,7.4075625,12.414823499679564,10.977133885791597,15.87984459618314
Chronos-2 (con X),17,-0.0817398214403141,9.609225289527188,9.596688237357212,3.097852197467983,2.358124376111277,1.6934058869489357,0.806,0.956,7.5262568359375,12.608942166328433,11.034397078766569,16.95625840230078
Chronos-2 (con X),18,0.0975627188633238,9.24946921458229,9.240488760265125,3.039817224812229,2.2854930191182863,1.6734262635452648,0.794,0.952,7.5359033203125,12.587264914512634,11.0139504912068,16.065599187542247
Chronos-2 (con X),19,0.2373230090369836,10.45151790405537,10.486937078865642,3.238354069410206,2.513657618701552,1.8127034359271337,0.758,0.93,7.50954296875,12.601737092018128,11.880479572711762,17.092491929914456
Chronos-2 (con X),20,0.1358962830135239,9.56231569296275,9.561658861313711,3.0921932121576283,2.3947370976068503,1.715584895888285,0.782,0.952,7.4951650390625,12.54784890460968,11.04092440881216,16.10631482463498
Chronos-2 (con X),21,0.2572807911187837,8.75754057106508,8.806218895401654,2.96752740432193,2.3000126089894977,1.6539086859271184,0.792,0.954,7.4875341796875,12.566178985595704,10.796023020380476,14.836010976905856
Chronos-2 (con X),22,0.1415380599895651,8.386666867375835,8.389926556066689,2.896536993733498,2.273397803645746,1.621539575029684,0.806,0.958,7.4918798828125,12.550043251037598,10.40895123083858,14.238742457986206
Chronos-2 (con X),23,-0.0369771053297232,9.535253623182417,9.517550422254628,3.085052742216027,2.400823071965439,1.711300385235407,0.794,0.952,7.4797578125,12.570084266662596,10.958917927763128,15.454570814970396
Chronos-2 (con X),24,-0.0485930259681639,8.969828789903302,8.954250414496236,2.9923653544472533,2.316642245764613,1.6565644402510304,0.814,0.958,7.4643134765625,12.536784475326538,10.64773787204641,15.39384820423156
Chronos-2 (con X),avg_all,-0.0179004257989925,9.48576030739494,9.487487585955956,3.0775697906103385,2.363140591956593,1.699641612098157,0.7866666666666666,0.9466666666666668,7.390190017700196,12.333605650901797,11.019480836012008,15.752615716500005
