model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
VARMAX(1) con X,0,1,-0.009550485204089201,1.003504787817655,1.0015889900096546,1.0007941796441737,0.7983454745796801,0.5649974036171566,0.802,0.946,2.5567412284097837,3.9101982785549305,3.524642902152664,4.867825061519958
VARMAX(1) con X,0,2,0.06032037797598817,1.7088100664073989,1.7090309942737492,1.3072991219586088,1.0565147802279746,0.7423872268706008,0.782,0.932,3.222837660409816,4.928904862082769,4.578707592964566,5.9611248095773695
VARMAX(1) con X,0,3,0.04695429313509796,2.2266795554241847,2.2244309019571546,1.4914526147206806,1.1931159236042275,0.8474967945619857,0.762,0.924,3.6282288129993074,5.54889712777747,5.300207686204905,6.860987881134564
VARMAX(1) con X,0,4,0.03863179194965267,2.88306587684027,2.8787921604358333,1.6967003743843028,1.3467172194517905,0.9610652342101474,0.754,0.914,3.9108206372808976,5.981084027476682,6.07249459137626,8.328182992221386
VARMAX(1) con X,0,5,0.019713140371945465,3.3617610044627457,3.3554260903571396,1.831782216956246,1.482951022862131,1.0497090748281268,0.722,0.908,4.118501088375979,6.298703868443757,6.489539459146746,8.774732381353708
VARMAX(1) con X,0,6,0.09658202599511334,3.539329977044201,3.541579404835437,1.8819084475168917,1.4878365341270314,1.0638206049203895,0.76,0.904,4.2754228834216175,6.538695043943703,6.740795848934077,9.521695315904873
VARMAX(1) con X,0,7,0.011672085348072956,3.6319257663282456,3.6247981523719655,1.9038902679440235,1.529623527801765,1.0803817096224189,0.76,0.928,4.396147782707597,6.723327844526464,6.792881663029264,9.509463063528171
VARMAX(1) con X,0,8,-0.04035681401359729,4.139684693204271,4.133033996255189,2.032986472226313,1.6446049794862951,1.1617929551685293,0.732,0.904,4.490274324544516,6.867281967754656,7.234677619803679,10.337405674977918
VARMAX(1) con X,0,9,0.044998446452288586,4.300721765172273,4.294145181825047,2.0722319324402485,1.6530759788773772,1.1776964040149012,0.728,0.908,4.564453251326085,6.980728846376281,7.414369873608746,10.43174338990894
VARMAX(1) con X,0,10,0.07773010592902233,4.537413681137369,4.534380823142832,2.129408561817772,1.6634184115586508,1.205441508637493,0.73,0.89,4.623441636168313,7.070943795899465,7.785766771017931,11.325120477421878
VARMAX(1) con X,0,11,0.12210392400576063,4.614538494444652,4.6202187857133685,2.149469419580881,1.7235629763533533,1.231276107563819,0.718,0.89,4.670719598061553,7.143249199025274,7.942776586714466,11.216805507911035
VARMAX(1) con X,0,12,0.04213821763701014,4.634346068178094,4.626853005427368,2.1510120886288315,1.7160699080722766,1.2270335339530294,0.73,0.886,4.7088773017947805,7.201606370957007,7.899636549845181,11.169792997558973
VARMAX(1) con X,0,13,0.06652085583179215,4.336040280526715,4.331793224226256,2.0812960443498314,1.6839399911931063,1.1900035977265164,0.734,0.912,4.739869424322184,7.2490047321242725,7.439280152651752,10.401631728403116
VARMAX(1) con X,0,14,0.06846317710329261,4.5082940388857065,4.503964657427012,2.1222546165403933,1.712486042597718,1.2127838089832463,0.728,0.9,4.7651881758839085,7.28772642115238,7.633061174286954,10.531267771256186
VARMAX(1) con X,0,15,-0.02460459644436138,4.9128410833393215,4.903620787338834,2.2144120635823032,1.7668406141266335,1.2696069182027259,0.7,0.886,4.78598398734238,7.319530870215316,8.102356577741686,11.532459892269845
VARMAX(1) con X,0,16,-0.01911150758716469,5.111383303809517,5.101525786924154,2.258655747767719,1.8130716839230963,1.2977502161229617,0.692,0.876,4.803151427172523,7.3457862037332795,8.312955443148313,11.787161690479724
VARMAX(1) con X,0,17,0.020745275427167954,4.873373351889483,4.864056971638255,2.2054607164123907,1.7300824360405223,1.2507095575401626,0.716,0.898,4.817391402118843,7.367564366068612,7.9880307098076475,11.953573790423855
VARMAX(1) con X,0,18,0.11115605612989875,4.87197498415062,4.87458670299667,2.2078466212571626,1.7461240954597872,1.251556455960419,0.74,0.894,4.829256830776097,7.385710973239631,7.994410924898026,11.799658681749872
VARMAX(1) con X,0,avg_all,0.04078368722460506,3.8442049321701512,3.840212589841995,1.929936750429376,1.5415767555746342,1.0991949506947016,0.7383333333333333,0.9055555555555556,4.328183747395344,6.619385822186219,6.958144007074049,9.795035172644521
VARMAX(1) con X,1,1,-0.01123378173496848,0.9739309612293198,0.9721092971589302,0.9859560320617397,0.7694035157104336,0.5513412323946411,0.808,0.938,2.548324760790088,3.8973264021083196,3.5932904267564765,5.058096644430297
VARMAX(1) con X,1,2,0.025313993673281028,1.697585644269268,1.6948312712564186,1.3018568551328593,1.0190222602173726,0.7268327981375342,0.804,0.932,3.1985270253186,4.891724954148424,4.668460301947822,6.565871899588536
VARMAX(1) con X,1,3,0.005254196981370319,2.178823383054881,2.174493342874691,1.4746163375178951,1.165780340553632,0.8296207995878083,0.772,0.938,3.595427130950982,5.498731284142665,5.241705382255619,7.192441488782502
VARMAX(1) con X,1,4,-0.022782491000274747,2.809947987019387,2.804847132941524,1.674767784781378,1.3358894500817842,0.9500066497942827,0.754,0.93,3.8734504498254725,5.923931257758042,5.895939835526692,8.155017574946916
VARMAX(1) con X,1,5,0.051056889644114416,3.4780161412073216,3.473666914905038,1.863777592660948,1.4974757401476015,1.0642230883705415,0.728,0.89,4.078509462498536,6.23754195462746,6.784309261182328,9.52409233640155
VARMAX(1) con X,1,6,0.020289454095710282,3.490635009663105,3.484065401591276,1.8665651345697198,1.5057409459632976,1.0670586923727508,0.742,0.904,4.23380868526006,6.475051619960582,6.678482230568575,9.132604104572716
VARMAX(1) con X,1,7,0.03562092116481259,3.4305551447530513,3.424962884488179,1.8506655247472945,1.4793930037744887,1.0504640606550057,0.758,0.916,4.353451422324794,6.658029396246169,6.632485296949971,9.062477924829375
VARMAX(1) con X,1,8,0.05090248480304616,3.8836749922425553,3.8784987052171993,1.9693904400136606,1.5861069221943151,1.1209251292384261,0.744,0.918,4.446807399874078,6.80080504309296,7.047705797009927,9.695155428535708
VARMAX(1) con X,1,9,-0.010636546567258216,4.181072117537686,4.172823109425491,2.042748910029202,1.6335236492944782,1.163756487388735,0.734,0.902,4.520408716338579,6.913368542965753,7.343362602594915,10.515363396396648
VARMAX(1) con X,1,10,-0.025693891737190826,4.607142009479111,4.59858790153276,2.1444318365321755,1.7341529344379858,1.2280642747664259,0.722,0.896,4.578948038472832,7.002896710342905,7.6610651680020005,11.328991017092495
VARMAX(1) con X,1,11,0.01697184906321047,4.394184012406819,4.3856836880426275,2.0942023990155842,1.6703315516655008,1.1899964016356106,0.738,0.89,4.625868471473566,7.0746553202130995,7.654956125495486,11.075088345099614
