model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
ARDL-ECM,1,0.00457627477984101,0.9981929308905121,0.9962174873195917,0.9981069518441357,0.7928838982806535,,,,,,,
ARDL-ECM,2,0.00670003715033247,1.8819837127815557,1.8782646358538089,1.3704979517875278,1.0836374065949748,,,,,,,
ARDL-ECM,3,0.03792460108842925,2.5355559233439697,2.531923086865004,1.5912017744035494,1.2553230122213923,,,,,,,
ARDL-ECM,4,0.0653695714203914,3.19814140923144,3.196018307280663,1.7877411186412486,1.4235301949173038,,,,,,,
ARDL-ECM,5,-0.009548566208567798,3.786875223910404,3.779392648579225,1.9440660093163569,1.5710199080038916,,,,,,,
ARDL-ECM,6,0.01865108502196323,4.242410313723988,4.234273356069035,2.0577350062797284,1.656130950320993,,,,,,,
ARDL-ECM,7,-0.011619164464240312,4.582268395082367,4.573238863275046,2.138513236637792,1.750902000614044,,,,,,,
ARDL-ECM,8,-0.06305158636602795,4.834609606772491,4.828915890102218,2.1974794402001168,1.788077764843447,,,,,,,
ARDL-ECM,9,0.01889806813928573,5.088475453789648,5.078655639861468,2.253587282503491,1.8321093310372196,,,,,,,
ARDL-ECM,10,0.0243554796193798,5.349844186537285,5.339737687551704,2.3107872441122104,1.8642602583461465,,,,,,,
ARDL-ECM,11,0.07197104015639405,5.403314394284707,5.397687596117324,2.323292404351489,1.8638476913474151,,,,,,,
ARDL-ECM,12,0.06947557750030776,5.766733143903288,5.7600265334844805,2.4000055278029007,1.9148821921878318,,,,,,,
ARDL-ECM,13,0.018715297419826693,5.9321896614075955,5.920675544442295,2.433243831686889,1.940248326426088,,,,,,,
ARDL-ECM,14,0.021446738962956083,6.411772298334305,6.399408716349792,2.529705262743032,2.0309605829391395,,,,,,,
ARDL-ECM,15,0.03435257724444986,6.088464028806334,6.077467200312052,2.4652519547324268,1.9610733134464131,,,,,,,
ARDL-ECM,16,0.013353817923756693,6.037553471065791,6.025656688576801,2.45472130568356,1.9915577955636619,,,,,,,
ARDL-ECM,17,-0.04875109651222269,6.123828849169176,6.113957860881984,2.472641878817469,2.000195007043338,,,,,,,
ARDL-ECM,18,-0.0029042375744460784,6.089464461595431,6.077293967268121,2.4652168195248305,1.9761659122644881,,,,,,,
