model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"SARIMAX(1, 0, 0) con X+trend",1,-0.12416793314603208,1.2621610549042517,1.2750544084162025,1.129183071258245,0.9133829940323285,0.6435860126161564,0.792,0.96,2.9408052246293384,4.497573473269756,3.9480829743082615,4.971036494163584
"SARIMAX(1, 0, 0) con X+trend",2,-0.14111124253631002,2.341873825019754,2.3571024601398576,1.5352857910304054,1.2400402554255956,0.8748870532734628,0.762,0.926,3.6761748124214857,5.622224206138387,5.390900432424416,6.798218331675427
"SARIMAX(1, 0, 0) con X+trend",3,-0.12020483216858635,3.1278110350097643,3.136004614616424,1.7708767926133158,1.4303204188264327,1.010699371225127,0.724,0.908,4.035707916110607,6.172082638234428,6.268893640839773,8.199391561340148
"SARIMAX(1, 0, 0) con X+trend",4,-0.08483633257676455,3.701395572160846,3.7011899843416005,1.923847703000838,1.542637455563485,1.091746424373609,0.724,0.916,4.229367762845144,6.468259815225308,6.833267067431839,9.43936634480087
"SARIMAX(1, 0, 0) con X+trend",5,-0.13465726425277574,3.584731293709423,3.5956944099380403,1.8962316340410632,1.5028466598376027,1.0720241440429457,0.75,0.92,4.338629211608791,6.635360781142673,6.724436216471545,9.419992029025881
"SARIMAX(1, 0, 0) con X+trend",6,-0.09794381499525825,3.5898549839645013,3.5922682648923994,1.8953280098422012,1.490330532058995,1.0672984719641065,0.748,0.92,4.402079888365012,6.732400217229697,6.826382678141861,9.33103757044721
"SARIMAX(1, 0, 0) con X+trend",7,-0.01994532975106276,3.6226369363856055,3.615789478691719,1.901522936672529,1.5244180941358167,1.0766885510756083,0.758,0.92,4.4397051986835,6.789943163697119,6.749964964595528,9.078941359010619
"SARIMAX(1, 0, 0) con X+trend",8,-0.07325234475732584,3.6752948004971775,3.6733101169086284,1.916588144831494,1.5380412801020555,1.0881121506530067,0.752,0.928,4.4623904173626645,6.824637211746361,6.6897787749715105,9.104693209587838
"SARIMAX(1, 0, 0) con X+trend",9,-0.06476156431332328,3.4363093069220016,3.4336307485204625,1.8530058684527857,1.4630443675294835,1.0401782223956986,0.77,0.936,4.476261640215373,6.845851416421214,6.5301514186444924,8.786808317177067
"SARIMAX(1, 0, 0) con X+trend",10,-0.08284111181792096,3.586439385291297,3.586129156327944,1.8937077800779993,1.5070414842322577,1.0710965707552553,0.752,0.928,4.4848492007465595,6.858984956895665,6.704707398855282,8.809192902868906
"SARIMAX(1, 0, 0) con X+trend",11,-0.10004191434310418,3.9616442640801157,3.9637293601773878,1.990911690702877,1.5596389426716626,1.1198221647713964,0.756,0.914,4.490225679597536,6.8672075717282475,7.137221876488198,9.955814355763982
"SARIMAX(1, 0, 0) con X+trend",12,-0.07678688058706439,4.132389154634827,4.130020601355846,2.0322452119160834,1.5972400732929253,1.140379573477876,0.754,0.904,4.493626768326812,6.872409088075156,7.291115797654364,10.441317591584125
"SARIMAX(1, 0, 0) con X+trend",13,-0.02531610115538942,3.7821691318150363,3.775245698529116,1.9429991504190411,1.5415939084676538,1.0974171806493784,0.744,0.916,4.495799121857312,6.875731416099992,6.963489681180189,9.35319644386782
"SARIMAX(1, 0, 0) con X+trend",14,-0.03410817287191795,3.6604935201437456,3.654335900560121,1.911631737694298,1.5300131578553329,1.0763857730233506,0.778,0.932,4.4971993235494105,6.87787283979404,6.6880751465760016,9.316140761606064
"SARIMAX(1, 0, 0) con X+trend",15,0.03766883259692343,3.9581511683171824,3.951653806929757,1.987876708181309,1.576941568382348,1.1182991099250041,0.74,0.92,4.498109636807657,6.879265043782379,7.012147013959405,9.79152579007885
"SARIMAX(1, 0, 0) con X+trend",16,-0.032017780539563306,4.237295652817799,4.229846199782846,2.0566589896681573,1.631962950652938,1.1625595996905067,0.73,0.896,4.498706329457405,6.880177606440645,7.356977472747622,10.284540192454559
"SARIMAX(1, 0, 0) con X+trend",17,0.014714752912998506,3.6968684149972395,3.689691202120533,1.920856892670699,1.5199818765277546,1.0771699773566863,0.764,0.92,4.499100522411594,6.880780472539783,6.807875935704967,9.368694512885613
"SARIMAX(1, 0, 0) con X+trend",18,0.0914772325498933,3.8174464060000473,3.818179597263033,1.954016273540994,1.535626840919368,1.0972561909353724,0.77,0.912,4.499362894996172,6.881181736780812,6.9228298527421055,9.762366840726129
"SARIMAX(1, 0, 0) con X+trend",19,0.10221174688601543,4.027766838715205,4.030158546239263,2.0075254783537027,1.6005666938396814,1.1402165030140832,0.724,0.906,4.499538785789721,6.881450738536061,7.181219483985089,9.448466071105079
"SARIMAX(1, 0, 0) con X+trend",20,0.052465221640050054,4.299842571371867,4.293995485710865,2.072195812588874,1.636108919850413,1.1779356161893346,0.71,0.878,4.4996575140942445,6.881632317808465,7.540247475786703,10.311630394262652
"SARIMAX(1, 0, 0) con X+trend",21,0.03208110665497375,4.625834450845423,4.617611979347939,2.148862950340933,1.7342045506812875,1.2319368751956778,0.714,0.87,4.499738187269914,6.881755696783668,7.8948412252238604,10.865471975672616
"SARIMAX(1, 0, 0) con X+trend",22,0.02348095538123941,4.525412941166803,4.516913470550086,2.1253031479179825,1.686894572304232,1.211621892035741,0.708,0.878,4.499793350449371,6.881840061586396,7.7444317007970636,10.941852364550602
"SARIMAX(1, 0, 0) con X+trend",23,0.04727313688707035,4.198271075905912,4.192109283225246,2.04746411036317,1.585970624433802,1.144012579473534,0.754,0.908,4.499831299370011,6.881898099452139,7.4060475348063735,10.961901300025307
"SARIMAX(1, 0, 0) con X+trend",24,0.006670918729604669,4.023734835199587,4.015731866685885,2.003929107200623,1.5771120554646187,1.129203499592441,0.752,0.918,4.499857557683522,6.881938258077159,7.195337235664311,10.381976430049308
"SARIMAX(1, 0, 0) con X+trend",avg_all,-0.033497863148901255,3.7031595258281427,3.7018915267196335,1.9132522913908174,1.5194150115453364,1.08168889615439,0.7470833333333333,0.9139166666666667,4.352354926860382,6.656352451145231,6.825350958333365,9.38014888103043
Chronos-2 (con X),1,0.15729750500795156,1.2049600443873971,1.2272926293803499,1.1078324013046152,0.8872457158942734,0.6273038543715724,0.796,0.97,2.85544140625,5.230341695785523,3.9494951955776143,5.780673046076676
Chronos-2 (con X),2,0.31871041745189255,2.0471981140314055,2.144680047995702,1.4644726177008918,1.1785984927963644,0.830382069898025,0.762,0.948,3.461484375,6.101643850326538,5.216806880825067,7.37924865177577
Chronos-2 (con X),3,0.4489286145875015,2.5984323662882245,2.7947724025511023,1.671757279796054,1.316188126230326,0.9471266858876033,0.74,0.93,3.90236328125,6.73789624786377,6.12881933014246,8.389319074342799
Chronos-2 (con X),4,0.5514723991239519,3.0204067502184055,3.318487743713496,1.8216716893319431,1.4143729160829384,1.0202176517062351,0.748,0.926,4.15155859375,7.1483129901885984,6.655048796065243,9.4311299074064
Chronos-2 (con X),5,0.6380875987085979,2.8386524147198657,3.2401308935161333,1.8000363589428223,1.4009462541808462,1.0071702063267411,0.77,0.942,4.31768310546875,7.4278294506073,6.470315740380165,8.783983591091426
Chronos-2 (con X),6,0.7936221923239561,2.7105635925116482,3.3349786494757097,1.8261923911449498,1.4277929259246205,1.017573193492626,0.776,0.952,4.42998828125,7.631479066848755,6.424165512710837,8.773476047279269
Chronos-2 (con X),7,0.9682349032679869,2.6156303023362653,3.5478778696379636,1.883581129030009,1.4785011413695741,1.0513324016709404,0.778,0.956,4.6006572265625,7.880752991676331,6.640468785938653,9.102749300026632
Chronos-2 (con X),8,0.965066890064325,2.680930336243941,3.6069225778698857,1.8991899794043474,1.4973884894652507,1.0672150308277715,0.758,0.964,4.73934375,8.114296877861022,6.758028440154962,9.318346375476258
Chronos-2 (con X),9,1.0401737308007066,2.6208427115730437,3.6975624163977607,1.9229046820884703,1.5153559624349884,1.0740259394678557,0.786,0.966,4.814103515625,8.274211546897888,6.74426771506004,9.272567516453787
Chronos-2 (con X),10,1.104745611331705,2.7860334928245396,4.000924291595548,2.000231059551758,1.601350520863662,1.1249548909965728,0.788,0.958,4.9021435546875,8.478675261497498,6.937302688285261,9.757880964426496
Chronos-2 (con X),11,1.1298846295166367,2.934352226801172,4.205122798365523,2.050639607138593,1.6604680982733964,1.1649932510799093,0.756,0.94,4.93348828125,8.510406775474548,7.248691921531953,10.21635983645128
Chronos-2 (con X),12,1.1738059157456675,2.685608597523839,4.058057708168317,2.0144621386782915,1.6391830884677592,1.154392549076968,0.778,0.952,5.032513671875,8.66338784790039,7.110593503271364,9.995150207403018
Chronos-2 (con X),13,1.3025643470765849,2.6923942487438985,4.3836833385214575,2.0937247523305107,1.7046510765028875,1.1973407836398433,0.742,0.952,5.08558544921875,8.778162769317627,7.5032805877190745,10.360695244198366
Chronos-2 (con X),14,1.328982162384343,2.577064250754911,4.338103710189162,2.082811491755594,1.6935479410236183,1.1926193288893956,0.74,0.97,5.199076171875,8.94488384628296,7.308369834360218,9.819238147818353
Chronos-2 (con X),15,1.4704886785432778,2.8597327946775257,5.016350282812131,2.2397210278988164,1.830093569016327,1.2884924383386398,0.742,0.952,5.227927612304687,8.996754262924194,7.908742926885844,10.56675994902087
Chronos-2 (con X),16,1.4392597542469245,3.3790330319436848,5.443743606074701,2.3331831488493786,1.912813086633203,1.3319699731067522,0.714,0.954,5.35377587890625,9.20545359134674,8.181368655323693,10.922897364541885
