model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"SARIMAX(1, 0, 0)x(1, 0, 0, 12) con X",1,0.017771503168238473,1.4081533666922772,1.4056528862837492,1.1856023305829613,0.9404159835377977,0.673763365685343,0.704,0.886,2.5014446704512925,3.8256294910152584,4.32234669452494,6.1401672647547905
"SARIMAX(1, 0, 0)x(1, 0, 0, 12) con X",2,-0.04138438547220324,1.4456546865317346,1.444476044519582,1.2018635715086725,0.9565585285731865,0.6804486788270772,0.714,0.906,2.6467141449343488,4.047799980049659,4.354212190299572,6.103982615009094
"SARIMAX(1, 0, 0)x(1, 0, 0, 12) con X",3,-0.08372700375198916,1.6204927055979323,1.6242619313440212,1.2744653511743742,1.0299308636707676,0.7282158330653371,0.714,0.894,2.6781829475563366,4.0959273605109265,4.517566223678113,6.405340048192463
"SARIMAX(1, 0, 0)x(1, 0, 0, 12) con X",4,-0.024911697292264515,1.7875114593460926,1.7845570290893815,1.335873133605651,1.077256537285705,0.77112426977811,0.664,0.856,2.6875584795560825,4.110265999352663,4.9107533732576645,6.963324480990539
"SARIMAX(1, 0, 0)x(1, 0, 0, 12) con X",5,-0.08553657982392447,1.7195846179990384,1.7234619552510135,1.312806899452853,1.0497561347047217,0.7547799367620678,0.674,0.87,2.6909284583559954,4.115419937168412,4.828136924467831,6.9224791600222995
"SARIMAX(1, 0, 0)x(1, 0, 0, 12) con X",6,0.021202428206428058,1.464276861253718,1.4617978504930589,1.2090483243001742,0.9655359442265495,0.6880276003933915,0.728,0.908,2.6923105915069394,4.1175337274133925,4.337771138958975,6.191151757982876
"SARIMAX(1, 0, 0)x(1, 0, 0, 12) con X",avg_all,-0.03276428916095248,1.5742789495701324,1.5740346161634677,1.253276601770781,1.0032423319997879,0.7160599474185544,0.6996666666666667,0.8866666666666667,2.649523215393499,4.052096082585054,4.545131090864518,6.45440755449201
Chronos-2 (con X),1,0.06819918805223135,1.716619317907414,1.7178372085225826,1.3106628889697696,1.047783008135924,0.7391755169887294,0.808,0.966,3.2923438720703126,5.985930166721344,4.599952268031016,6.660882193897524
Chronos-2 (con X),2,-0.02669178970210538,1.962400595940301,1.9591882463859216,1.399710057971265,1.0954127137892435,0.7740105149217813,0.81,0.97,3.555061782836914,6.422383606910706,4.8347676788789125,6.890390782952981
Chronos-2 (con X),3,-0.02089473491411836,2.2300615105850428,2.226037977511004,1.4919912793012577,1.2009630205819168,0.8441115227763925,0.782,0.97,3.7081456909179686,6.719789855957031,5.166542604777946,7.222359002717412
Chronos-2 (con X),4,0.05256752895469429,2.475481304926602,2.473293687417148,1.5726708770169135,1.241942009249638,0.8826687147529813,0.764,0.952,3.7503994541168213,6.784542404651642,5.565494557607786,7.574811498692599
Chronos-2 (con X),5,-0.01715764316861653,2.323913865199488,2.319560422188193,1.5230103158508785,1.2140738298108236,0.859540105905622,0.79,0.976,3.794641174316406,6.894299462795257,5.340015778801616,7.874121719159192
Chronos-2 (con X),6,0.12722230279882638,2.0706426627456893,2.0826868917496304,1.4431517216667242,1.1358257993977974,0.8092416611369846,0.818,0.982,3.8334873352050782,6.9725406222343445,5.030620515081074,7.26097944711629
Chronos-2 (con X),avg_all,0.03054080867015196,2.129853209550756,2.12976740562908,1.4568661901294682,1.156000063494224,0.8181246727470819,0.7953333333333333,0.9693333333333334,3.6556798849105836,6.629914353211721,5.089565567196392,7.247257440756
