model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"SARIMAX(1, 0, 0) con X",1,-0.06985639591727298,0.9531299946464665,0.956103650707725,0.9778055280615492,0.7849011885430208,0.5557145308350836,0.812,0.96,2.5795644468856165,3.945103379080415,3.4281461192643135,4.489031733935583
"SARIMAX(1, 0, 0) con X",2,-0.07764688438279255,1.4122562220308008,1.4154607482410944,1.1897313765052573,0.9709417665325911,0.6772260401646663,0.804,0.948,3.0240347980249975,4.6248621214130825,4.115336387740787,5.323986284323142
"SARIMAX(1, 0, 0) con X",3,-0.08188225364120215,1.7703255861223193,1.7734896384114338,1.3317243102126783,1.0834530184264681,0.7613300966811771,0.746,0.944,3.1789769193075754,4.86182564716324,4.6264661704979675,5.867995605567221
"SARIMAX(1, 0, 0) con X",4,-0.06331844692059187,2.038201100578308,2.0381339240975858,1.4276322790192109,1.143190619904552,0.8075977349415955,0.744,0.92,3.238554334854646,4.95294144141114,5.055539382216962,7.008958778496091
"SARIMAX(1, 0, 0) con X",5,-0.11259094354773277,1.749865961310654,1.7590429499570024,1.326289165286742,1.0740157926664669,0.7562645160553594,0.756,0.946,3.2626384608578642,4.98977493358933,4.624212361353394,5.938726256343942
"SARIMAX(1, 0, 0) con X",6,-0.07267762807311864,1.7124704819850722,1.7143275786434378,1.3093233285340324,1.007093282737364,0.7313906130162752,0.796,0.944,3.272718175748054,5.00519052722626,4.726023105875361,6.440489954026536
"SARIMAX(1, 0, 0) con X",7,0.000804005656103687,1.7125528529976388,1.7091283937167383,1.3073363735920218,1.0433470980024886,0.7394456276652787,0.776,0.954,3.277056169665034,5.011824916408107,4.612481050485431,5.889864267308362
"SARIMAX(1, 0, 0) con X",8,-0.03359091813597274,1.7828904515698545,1.7804530204479323,1.3343361722024671,1.0628391716850414,0.7554337936566384,0.764,0.94,3.2789687544200676,5.014749962374294,4.704715906469742,6.180884517957453
"SARIMAX(1, 0, 0) con X",9,-0.021174171122314664,1.5156688442212871,1.513085852055561,1.2300755472960028,0.9639795570034307,0.6908242581536347,0.824,0.958,3.2798304652544554,5.016067835369722,4.412831950534208,5.997181086462737
"SARIMAX(1, 0, 0) con X",10,-0.03912496296215824,1.6307459899119185,1.6290152606588835,1.2763288215263664,1.0208112945512973,0.723909977839856,0.794,0.936,3.280226465479003,5.016673465450359,4.495099927840317,5.988598841050138
"SARIMAX(1, 0, 0) con X",11,-0.056441398060714645,1.9101961305146438,1.909561369668662,1.3818687961122293,1.1030795896096688,0.7831922287498455,0.748,0.928,3.2804117983902925,5.0169569076785505,4.889884258371837,6.424562310372294
"SARIMAX(1, 0, 0) con X",12,-0.025737908087336357,1.9174740392632337,1.9143015310974199,1.383582860221035,1.1094011556141368,0.7806670303237827,0.776,0.946,3.2805000156405444,5.017091824320185,4.794449172347351,6.456267101163342
"SARIMAX(1, 0, 0) con X",13,0.03154158431510276,1.6243346353181807,1.6220808375886533,1.2736093740188368,1.0106346723933226,0.7177686026444271,0.804,0.952,3.2805426716400636,5.01715706104185,4.434709912905302,6.0166680071207965
"SARIMAX(1, 0, 0) con X",14,0.02307536376200586,1.5177752065934627,1.5152721285930237,1.2309639022298842,0.9636968557125909,0.6909561988935379,0.81,0.956,3.280563601113674,5.017189069909543,4.446472194865454,5.9881153528203335
"SARIMAX(1, 0, 0) con X",15,0.1185254945868989,1.6584683298565859,1.669199686063943,1.2919751104661201,1.0384174340419143,0.7309068704325655,0.778,0.944,3.2805740110335257,5.017204990508086,4.529399174075549,5.952079900104621
