model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"SARIMAX(1, 0, 0) con X",1,-0.055333901916529926,1.0071138785027478,1.0081614914470496,1.0040724532856429,0.8116422581688586,0.5714794356134856,0.808,0.952,2.659763061569361,4.067756575889812,3.5275785004834583,4.597539751710891
"SARIMAX(1, 0, 0) con X",2,-0.042093613211434046,2.036599314764482,2.0342979884081456,1.4262881856091165,1.1521660654380936,0.8102823056502882,0.792,0.936,3.555825672562519,5.438166080007734,5.039910053290494,6.555101960522353
"SARIMAX(1, 0, 0) con X",3,-0.05007766798245527,3.064636914513059,3.061015413514593,1.749575781015099,1.4169174338299773,0.9982646777774676,0.746,0.934,4.12888103846711,6.314578632196478,6.1308457655449535,7.988941636187786
"SARIMAX(1, 0, 0) con X",4,-0.0634603735340928,4.092267142329117,4.088109827053545,2.021907472426358,1.6332156697016886,1.1542031609831396,0.72,0.93,4.532612277877148,6.932032279753077,7.088293278907464,9.500228166610976
"SARIMAX(1, 0, 0) con X",5,-0.139967774370915,4.418468698206918,4.4292227386728475,2.104571865884567,1.6990428546373102,1.2006809742363709,0.74,0.922,4.830444073843535,7.387526704822852,7.388279060908195,9.876935372738037
"SARIMAX(1, 0, 0) con X",6,-0.1180168282715603,4.781737653425883,4.786102149874306,2.1877161950020634,1.7389374473815535,1.2333765166627748,0.756,0.916,5.056314366698273,7.732965508125829,7.844965685604159,10.9183350285363
"SARIMAX(1, 0, 0) con X",7,-0.07791184191615665,4.939193344536608,4.9353852129583,2.2215726891007415,1.7793177184366955,1.2597994556762488,0.75,0.924,5.230870068599238,7.999925416895977,7.909240498566398,10.530630852197259
"SARIMAX(1, 0, 0) con X",8,-0.10942362009166205,5.144852126803713,5.14653595118407,2.268597794053426,1.8160191633608578,1.2878108322715212,0.742,0.932,5.36766252304395,8.20913142255095,7.9833689694102254,10.597388583136812
"SARIMAX(1, 0, 0) con X",9,-0.09212312309175513,4.985780523051852,4.984295631813927,2.232553612304512,1.7915275112072662,1.265948184102472,0.762,0.944,5.47603744907654,8.374876568951517,7.8640840523038005,10.389598488778079
"SARIMAX(1, 0, 0) con X",10,-0.10266560594614205,5.112177813629852,5.1124936846468785,2.2610824143862778,1.772501514270861,1.2695569135586193,0.786,0.934,5.562666695916781,8.507364568950596,8.19164162080064,10.982513350621069
"SARIMAX(1, 0, 0) con X",11,-0.12662348682703162,5.880544117270849,5.88481653645254,2.4258640803747724,1.9215937129039684,1.362851671290299,0.776,0.918,5.632435603071483,8.614066904572843,8.639706832530605,12.421557362548002
"SARIMAX(1, 0, 0) con X",12,-0.11147520124935549,6.244598378515751,6.24453590225231,2.498906941495083,1.9977689325287813,1.412759666403278,0.746,0.938,5.688991456226512,8.700561617917973,8.772308071568728,12.625038013381614
"SARIMAX(1, 0, 0) con X",13,-0.044909348033031635,6.047902239933879,6.0378232849947615,2.4571982591957777,1.9506295102687412,1.386946519932821,0.768,0.93,5.735099390089108,8.771077617587354,8.625160173023707,12.423664601371483
"SARIMAX(1, 0, 0) con X",14,-0.051667652232075215,5.964690160764115,5.955430326729758,2.44037503813036,1.9267575988783594,1.375913150798628,0.77,0.92,5.772882165779145,8.828861386558797,8.803170395134186,12.228275347854929
"SARIMAX(1, 0, 0) con X",15,0.05583175638762962,6.160292426044712,6.15108902621395,2.4801389126849225,1.974475658550762,1.404780717220717,0.744,0.93,5.803986546141429,8.876431431269113,8.930698436920732,12.488789863173357
"SARIMAX(1, 0, 0) con X",16,0.04388347513439928,6.536481180784455,6.525333977812758,2.554473326893972,2.026338512955816,1.45319468562082,0.738,0.91,5.8297014976948605,8.915759055895366,9.248613005822792,12.787812553822306
"SARIMAX(1, 0, 0) con X",17,0.09442535757027301,6.19475269787998,6.191279340636477,2.488228152850232,1.969511404011297,1.412513311472915,0.742,0.926,5.851043799541179,8.94839928988249,9.029600812996886,12.306401652137199
"SARIMAX(1, 0, 0) con X",18,0.1724848932375975,6.215745586399472,6.233065133621857,2.4966107292931867,1.9784859879475991,1.4161284521911675,0.754,0.91,5.868821043283601,8.975587238004376,9.078241507329343,12.698733021026516
"SARIMAX(1, 0, 0) con X",19,0.19446533281962164,6.715172711588537,6.739559131834001,2.596066087724656,2.0552338030872432,1.47418622980911,0.75,0.904,5.883678621585442,8.998309943162718,9.418746751316801,13.095876024900324
"SARIMAX(1, 0, 0) con X",20,0.19104566538534337,6.86434599620122,6.887115750471355,2.6243314863925544,2.1126110153277002,1.4990321718116602,0.716,0.91,5.896135178996861,9.017360603748015,9.456748416525368,13.031963769458223
"SARIMAX(1, 0, 0) con X",21,0.21163065889727062,7.121449518923936,7.1519941556713755,2.6743212513965813,2.16779665013762,1.5317392407923696,0.728,0.9,5.906609625198114,9.033379886829874,9.749109548409173,13.711585926555017
"SARIMAX(1, 0, 0) con X",22,0.21581042487708973,7.3714863029204665,7.403317469800253,2.7209037964985554,2.192617582678652,1.5626588645747794,0.722,0.878,5.9154418991671465,9.04688768421105,9.959116280236278,14.344397744780487
"SARIMAX(1, 0, 0) con X",23,0.2337278069310841,7.265482912586839,7.30558063449448,2.7028837626680287,2.1151236500325825,1.529901304925821,0.742,0.898,5.922909053962521,9.05830771198005,9.849651941185881,14.927150803117831
"SARIMAX(1, 0, 0) con X",24,0.20881088301355472,6.609354981806198,6.639738256707492,2.5767689567959895,2.034726844670126,1.4595727326240915,0.768,0.894,5.929237803550229,9.067986699226873,9.443886759453203,14.154576804273463
"SARIMAX(1, 0, 0) con X",avg_all,0.018181925649152768,5.44896360922436,5.45567912571946,2.3006253852276033,1.8347899375171837,1.3055658823333693,0.75275,0.9204166666666667,5.334918787997587,8.15905420120799,8.248873600761394,11.465959861643348
Chronos-2 (con X),1,-0.039332088499632635,1.1083195262371752,1.107649900370443,1.0524494763980088,0.8564225684498643,0.6013653347622459,0.742,0.968,2.595845497131348,4.63681817483902,3.73337877865625,4.921550246858263
Chronos-2 (con X),2,-0.003005822436054585,2.208496312262096,2.20408835460609,1.4846172417852657,1.197146621582199,0.8450624484728326,0.766,0.962,3.636582244873047,6.225964737892151,5.334249217067401,7.066990865298391
Chronos-2 (con X),3,-0.0036275221259988717,3.2809394733383117,3.27439075330841,1.8095277708033137,1.4639023541757417,1.0303891820649336,0.758,0.952,4.40637548828125,7.447253415107727,6.3895523573630575,8.371347299998611
Chronos-2 (con X),4,-0.05182706720210072,4.335483039048132,4.329498117864803,2.0807446065927464,1.6672313776501744,1.1757299100385101,0.762,0.954,4.92735009765625,8.27806407737732,7.310021832766353,9.956509123067296
Chronos-2 (con X),5,-0.10295163569711144,4.604352397461543,4.605742731959336,2.1460994226641357,1.7127260876256651,1.2104592850577272,0.782,0.954,5.282563415527344,8.86056581401825,7.564636900998426,10.368892823348542
Chronos-2 (con X),6,-0.09225230630175843,5.00915564075763,5.007647817494099,2.2377774280508995,1.768014645775222,1.2553406721663873,0.79,0.964,5.535168182373047,9.243239490509033,7.9812142690202705,10.98480391009954
Chronos-2 (con X),7,-0.04720375924173191,5.225679506968276,5.217456342840891,2.2841751996816906,1.7990170220409256,1.285649783313774,0.784,0.964,5.762588661193847,9.637396083831787,8.07587550551329,10.861061137056309
Chronos-2 (con X),8,-0.08243402976783427,5.46596641393169,5.461829850367594,2.33705580814143,1.8557545353218587,1.3174328885158113,0.79,0.964,5.97749560546875,9.997129695892333,8.183314472063772,11.061526405087237
Chronos-2 (con X),9,-0.056407456241007105,5.2610091428860315,5.253668925719839,2.2920883328789574,1.8160369248645671,1.2879116463859488,0.826,0.974,6.10939453125,10.271337105751037,7.986475394344866,11.276869536099266
Chronos-2 (con X),10,-0.06287593103351072,5.510397151478203,5.503329739878579,2.3459176754265223,1.8212978272529585,1.3123561812471498,0.81,0.962,6.235719299316406,10.433067671775818,8.463812933544821,11.862147403504114
Chronos-2 (con X),11,-0.08917826570326837,6.095897345207341,6.091658313590767,2.4681285042701417,1.9375341888088973,1.3796424525222302,0.82,0.96,6.36721826171875,10.731971510887146,8.805408040413752,12.503640886390015
Chronos-2 (con X),12,-0.07210769924957938,6.343673317099432,6.3361854907563036,2.517178080858862,1.9998605974497854,1.4132050939924259,0.814,0.96,6.45471484375,10.893766944885254,8.747813380232778,12.867474197991283
Chronos-2 (con X),13,0.01471998487122646,6.208106985853086,6.195907449835987,2.4891579800880432,1.9629352585317945,1.396724795733149,0.816,0.968,6.537193359375,11.081859274864197,8.722107961494826,12.65614776308318
Chronos-2 (con X),14,-0.02668754746130795,6.108374515152929,6.09686999131212,2.4691840740034188,1.9542102704043331,1.3904606593012,0.818,0.968,6.6532666015625,11.275853721618653,8.807580633044493,12.328058293342485
Chronos-2 (con X),15,0.1090562264115649,6.28472919272908,6.284052994862758,2.5068013473075124,1.9946069209561839,1.4187136856512876,0.798,0.964,6.6588125,11.31193267250061,8.910986226328168,12.350639213642811
Chronos-2 (con X),16,0.07559927593869764,6.657369973118445,6.649770483694665,2.5787148899586914,2.053901183586666,1.4577771683959617,0.796,0.966,6.728085647583008,11.474623527526855,9.199805075666756,12.393546150924902
Chronos-2 (con X),17,0.12728619151307227,6.318947909563284,6.3225117882940545,2.5144605362371575,2.0166682092748904,1.4286462407629263,0.8,0.972,6.7680267944335935,11.643330485343933,8.882802772439437,12.84403345387383
Chronos-2 (con X),18,0.19931368928773638,6.219860779037297,6.247147004216705,2.499429335711795,1.993986198557121,1.4235823177810114,0.804,0.968,6.837375,11.750404113769532,8.994988994144075,12.887418080242137
Chronos-2 (con X),19,0.21200571196505352,6.551332315656705,6.583176072931206,2.5657700740579243,2.046428424008336,1.4572898681847444,0.814,0.962,6.86473486328125,11.858453951835632,9.17779826959484,13.037570821735986
Chronos-2 (con X),20,0.23243200261677568,6.877327305709408,6.917597286938441,2.630132560715988,2.1273278379564378,1.4993761178181566,0.776,0.968,6.9202060546875,11.932179099082946,9.355997920214358,13.361231372248108
Chronos-2 (con X),21,0.2534892337882054,7.132676034961899,7.182667474538499,2.6800499015015555,2.161441429369972,1.5299934027860447,0.786,0.966,6.94151953125,11.972493732452392,9.648474189553134,14.023190457880665
Chronos-2 (con X),22,0.24930901155119817,7.357897902424112,7.4053370898598985,2.72127490155991,2.1985756844176083,1.5571157821527957,0.806,0.952,6.971515625,12.036594345092773,9.815459504094644,14.071086190155286
Chronos-2 (con X),23,0.2678579072408483,7.2188765487569535,7.276186654130875,2.697440760078129,2.141852313305895,1.5251619361703417,0.824,0.952,6.9603515625,12.030739120483398,9.699329115043483,14.611480849641667
Chronos-2 (con X),24,0.2365368996066702,6.557614480751119,6.600448956665151,2.569133892319579,2.0476536456515193,1.4578859601605187,0.83,0.946,6.993447265625,12.089076517105102,9.467353099122615,13.824164419433407
Chronos-2 (con X),avg_all,0.05198812515958969,5.580936800432923,5.58978414941823,2.33238790837882,1.8581055052924424,1.3190530338932547,0.7963333333333333,0.9620833333333333,6.046897955576579,10.296421470185122,8.30243486844691,11.687140870875139
