model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95,trace_msfe,avg_crps
VAR(1),0,1,-0.12844973080954164,1.049425302407275,1.0638257851475053,1.0314193061735393,0.8349156874331958,0.5847913606850372,0.778,0.942,2.5537416058783022,3.905610751773345,3.5798284005142764,4.66458310061834,,
VAR(1),0,2,-0.09472117681559603,1.1179765001391935,1.1247126484762464,1.0605247043215196,0.8532404126523851,0.5989483038574446,0.822,0.962,2.84299666312537,4.347988186901682,3.7329951239518384,5.050406631035284,,
VAR(1),0,3,0.007259643454321652,1.2532752718614013,1.2508214237407593,1.1184012802839414,0.8939179237667627,0.6319243880483775,0.804,0.958,2.912309233521072,4.453992615676845,3.9145751810766383,5.2629070027479985,,
VAR(1),0,4,-0.041394059795864364,1.3460786943894267,1.3451000051870308,1.1597844649705524,0.924449312490045,0.6544102260449671,0.804,0.934,2.93079649747624,4.482266446007997,4.122466267995358,5.62167214453203,,
VAR(1),0,5,-0.05793408822324588,1.264966290137926,1.2657927161359088,1.1250745380355511,0.8865181696580889,0.6309686018238373,0.814,0.948,2.936137670940794,4.490435065911512,4.03160969307568,5.396232228594482,,
VAR(1),0,6,0.06389112061026413,1.3451474329177768,1.3465392133447784,1.1604047627206544,0.932160462538263,0.6571680259187803,0.796,0.936,2.937802805340694,4.492981669217203,4.10873307526769,5.519780324098552,,
VAR(1),0,7,-0.006606784379347165,1.4098186011789913,1.407042613576469,1.1861882707127351,0.9364108677655365,0.6671611114361786,0.8,0.938,2.938358129428161,4.493830964119134,4.1683280086873475,5.800535177726482,,
VAR(1),0,8,0.031642964513080074,1.2765473956407951,1.2749955780526896,1.129157020990743,0.892568459837631,0.6364303876652284,0.822,0.948,2.9385538732913017,4.494130328524186,3.972548728603942,5.562635379793966,,
VAR(1),0,9,0.009059926255890421,1.3404330433771148,1.3378342595541228,1.1566478546014438,0.9215483375386961,0.6540219876882678,0.782,0.942,2.9386260328242133,4.494240687006385,4.092325120790666,5.54917045371641,,
VAR(1),0,10,-0.025563334520358503,1.4274576642466856,1.4252562329899903,1.1938409579964955,0.9311176270037193,0.6714386048104041,0.792,0.934,2.93865364696362,4.494282919188186,4.258394923760252,5.900360625158274,,
VAR(1),0,11,-0.051975519434160025,1.3823446958728645,1.382281461101569,1.175704665764991,0.9139219571166937,0.6587623122577168,0.798,0.924,2.938664561373698,4.494299611337953,4.2831580757532555,5.781516262449602,,
VAR(1),0,12,-0.09707695334658299,1.3771679966879156,1.3838375955655926,1.1763662676078368,0.9406352761875975,0.6634872893778747,0.806,0.948,2.9386690000875264,4.494306399764945,4.126037087008152,5.69617371619496,,
VAR(1),0,13,-0.01566438387263021,1.259096669773952,1.2568238493565134,1.1210815533923093,0.8921526396053199,0.633462690551328,0.812,0.956,2.938670851571214,4.4943092313648965,3.9507483126023692,5.173381517507921,,
VAR(1),0,14,0.013072660096404107,1.518975347863391,1.5161082916096615,1.2313034928926587,1.0000130161843697,0.6995491784284116,0.742,0.946,2.9386716414118235,4.494310439321859,4.2738629188880415,5.572078127586108,,
VAR(1),0,15,0.04598023739900915,1.289322895142943,1.2888584315839275,1.1352790104568689,0.8976431367997374,0.6405238927413314,0.798,0.948,2.9386719851013035,4.494310964949566,4.078717240561869,5.325552103135418,,
VAR(1),0,16,0.0013632797246035085,1.313799727308239,1.3111739863852292,1.145065057708613,0.90814429054716,0.6448834737730486,0.788,0.956,2.9386721372793994,4.4943111976858825,4.039158702533886,5.250027418354745,,
VAR(1),0,17,0.0019323272749815267,1.270874408372967,1.2683363934449192,1.1262044190309854,0.889856679807943,0.6356838897604767,0.796,0.95,2.938672205695608,4.494311302319443,4.019646756076931,5.4201301051806,,
VAR(1),0,18,0.00650608124827043,1.465750615793314,1.462861443654934,1.2094880915721882,0.9759467246775704,0.6846769986937419,0.784,0.942,2.938672236867415,4.494311349992614,4.2023267378653655,5.640931637606872,,
VAR(1),0,19,-0.05435624160072189,1.179291675665327,1.179887693314954,1.0862263545481456,0.8708394992998814,0.6115257604674831,0.84,0.964,2.9386722512370023,4.494311371968994,3.7882680594647895,5.147490899961778,,
VAR(1),0,20,-0.1190617476771576,1.358691835550128,1.370150151638966,1.1705341309158679,0.9430676504505922,0.6649992464401897,0.774,0.952,2.9386722579294497,4.494311382204207,4.114421220070285,5.307764724034224,,
VAR(1),0,21,-0.14541487698952874,1.2344750296917077,1.2531515660822026,1.1194425246890536,0.8858034329878008,0.6293650272184343,0.822,0.954,2.9386722610746134,4.494311387014319,3.9529378198412224,5.433966199470292,,
VAR(1),0,22,-0.14891860528865566,1.4004258206943336,1.4198017200540636,1.1915543294596616,0.9455831171351238,0.6711670908826164,0.796,0.946,2.9386722625644626,4.494311389292846,4.211696319161643,5.799848406841672,,
VAR(1),0,23,-0.12439319566796232,1.3580380449390748,1.3707956359776832,1.1708098205847453,0.9355249510658311,0.6633644989965364,0.788,0.932,2.9386722632751168,4.494311390379699,4.14003173227358,5.638837712022567,,
