model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95,trace_msfe,avg_crps
VAR(1),0,1,-0.07710577602431963,1.1826224530929508,1.1862025088830779,1.0891292434248003,0.8645341834795213,0.614305257620726,0.764,0.914,2.522613023645001,3.858003693495406,3.8822968053668494,5.335327078406226,,
VAR(1),0,2,-0.09155158473347964,2.151770493855706,2.1558486455352055,1.4682808469551067,1.155753183360573,0.8299442663572356,0.752,0.904,3.3766756412881906,5.164179750805518,5.340929941897305,7.414013729855776,,
VAR(1),0,3,-0.08598988678028971,3.0769839835993023,3.078224276260591,1.7544868982869581,1.4024720889573066,1.0014128158106335,0.734,0.91,3.9369101638523123,6.020984515157758,6.303225692357384,8.626225396902344,,
VAR(1),0,4,-0.14328413628515613,3.9198459010945004,3.932536553003293,1.983062417828368,1.575296303992966,1.1297999417045586,0.716,0.894,4.347890819532235,6.64952518814504,7.291688521398865,10.359407779645448,,
VAR(1),0,5,-0.11615228919862972,5.389210410393109,5.391923343858403,2.322051537726586,1.8260097798954227,1.3271658107474433,0.69,0.848,4.667131334147046,7.1377614229353,8.804496308846884,13.437257888986066,,
VAR(1),0,6,-0.12641182805779533,6.134836285589196,6.13854656329093,2.477609041655065,1.9814528335612527,1.4290515180707148,0.684,0.85,4.924112129634669,7.5307796341534825,9.246268715845723,13.960926676641458,,
VAR(1),0,7,-0.14583788237049605,6.685646133567524,6.693543529234692,2.5871883443682044,2.05762091603842,1.475986415718785,0.704,0.868,5.136078406031421,7.854954079290327,9.608317845509843,15.164154756155028,,
VAR(1),0,8,-0.14731118793085116,7.675416845257964,7.681766597657058,2.771600006793379,2.1961639880585633,1.5943652224403126,0.684,0.836,5.314020435394403,8.12709292899726,10.529607122437014,16.304646422351087,,
VAR(1),0,9,-0.15263800291780777,8.056852703528383,8.064037358056053,2.839724873655202,2.2551510926186342,1.6358788513684144,0.656,0.86,5.46539141025438,8.358594857602224,10.723862456462937,16.566924611306654,,
VAR(1),0,10,-0.14567731302076073,8.437248906161692,8.441596287878316,2.9054425287515695,2.3123957529261085,1.6736689352887275,0.664,0.852,5.595493454418477,8.557568763711336,10.928030484432355,16.733802668748833,,
VAR(1),0,11,-0.16972462217546555,8.683453642801041,8.694893182888032,2.9487104270999605,2.3528115894090864,1.6985734274544575,0.646,0.856,5.7082441805523665,8.73000611886314,11.025249645440502,15.770583974508225,,
VAR(1),0,12,-0.18810466889492103,9.407654224455225,9.424222282466376,3.069889620567224,2.465739647575162,1.7777668133054285,0.64,0.838,5.806627746645497,8.880470798863128,11.6049708479031,17.118296499545586,,
