model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95,trace_msfe,avg_crps
VAR(1),0,1,0.045829665206435784,0.895719545116724,0.8960284642394233,0.9465878005971888,0.7680810907563205,0.5387217080018154,0.808,0.968,2.561539104999322,3.9175359975906536,3.317287845935924,4.301084886885655,,
VAR(1),0,2,-0.02709180591178941,1.016462708210384,1.0151637487415264,1.0075533478389749,0.8081307187963674,0.5695878459636505,0.832,0.958,2.7233723721589396,4.1650386214889865,3.551721942386027,4.669009360480635,,
VAR(1),0,3,0.010233337075020044,1.0039254422036081,1.0020223125068919,1.0010106455512309,0.7927472438045652,0.5652036329646075,0.814,0.968,2.75357623454069,4.21123144279546,3.5520471697916673,4.67592586298649,,
VAR(1),0,4,-0.008986717009282769,1.0259950335501882,1.024023804565693,1.01194061316151,0.8138813460928825,0.5751299092091244,0.81,0.974,2.7602908625837017,4.221500580212725,3.5672926881778406,4.576323110191751,,
VAR(1),0,5,0.014704410701623564,1.2253145633183447,1.2230801538857883,1.1059295429121099,0.8676834864050869,0.6234569432368365,0.794,0.936,2.761902342834869,4.223965126579021,3.951798934747157,5.3047687308735725,,
VAR(1),0,6,0.018460683475043496,1.120849665664855,1.1189487631678898,1.0578037451095972,0.8501470562219476,0.5971527157845573,0.822,0.95,2.7623110644394466,4.22459021233149,3.686302852662818,5.1360734947006055,,
VAR(1),0,7,-0.0606590367827588,1.1200178633708557,1.1214573463875268,1.0589888320409837,0.8400274030219589,0.5966450474014506,0.81,0.944,2.762420176988785,4.224757085575398,3.7650171148644467,5.152877101631657,,
VAR(1),0,8,-0.09420818996069705,1.1690530854500973,1.1755901623348688,1.084246356846482,0.8699933721497551,0.6131218235426684,0.792,0.95,2.7624507958994267,4.224803913158231,3.7978379884233315,5.104135527491518,,
VAR(1),0,9,-0.0789528302446409,1.1412854540035653,1.1452364324991962,1.0701571999006483,0.8628429298006324,0.60856673278815,0.798,0.956,2.762459819635997,4.224817713772387,3.740273878150881,4.953941443153235,,
VAR(1),0,10,-0.07531307464879186,1.1105854307492773,1.1140363191008331,1.0554791893262667,0.8466404684161293,0.5983696637271609,0.818,0.942,2.762462606183873,4.224821975429609,3.726111288591846,4.998417486478899,,
VAR(1),0,11,-0.02959286912464935,1.0671587053988416,1.065900125891073,1.0324243923363459,0.8156227754824507,0.5836621915592737,0.812,0.942,2.7624635042369294,4.224823348883235,3.7347343209702957,5.067439337633245,,
VAR(1),0,12,0.009040083710528833,1.1731846792620526,1.1709200330170226,1.0820905844785005,0.8560765611633924,0.6100873726511558,0.806,0.94,2.762463805301341,4.224823809321521,3.8814544696194955,5.165007261662953,,
VAR(1),0,13,-0.04447755838728828,1.0295741649987749,1.0294932698688726,1.0146394777796064,0.8140665842558913,0.5758627619092509,0.808,0.96,2.762463909957819,4.2248239693797975,3.5426372232442556,4.827665626925551,,
VAR(1),0,14,-0.03034898402672806,1.061869998262379,1.060667319097308,1.029887041911543,0.8297288716500492,0.5833742387167785,0.828,0.958,2.7624639475223085,4.22482402682972,3.5949667086069637,4.854390081239909,,
VAR(1),0,15,0.020829414884316597,1.0844216174114643,1.082686638701064,1.0405222913042584,0.8333750474688008,0.5882526396374912,0.818,0.95,2.7624639613752486,4.224824048015968,3.7137201601423815,4.793945188229794,,
