model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95,trace_msfe,avg_crps
VAR(1)+GARCH-diag,0,1,0.015592360199132585,1.093169286739513,1.0912260698626126,1.044617666834432,0.8152448579604545,0.6105997544773153,0.64,0.792,2.0181536842021135,3.0704322622704474,4.222376343692143,8.229698911477163,,
VAR(1)+GARCH-diag,0,2,-0.02157629027604001,1.2856887902921492,1.283582949013642,1.1329531980685001,0.8714693749502794,0.6476904929559498,0.692,0.818,2.2456823858688084,3.5094074795909926,4.432545958262346,8.475617748261579,,
VAR(1)+GARCH-diag,0,3,-0.011311350015769887,1.5643643023651794,1.5613635203996268,1.249545325468279,0.9601527089858709,0.7246794524418798,0.63,0.798,2.309560315759352,3.6412693620387175,5.078214592565406,9.927625832924573,,
VAR(1)+GARCH-diag,0,4,-0.06123215679082468,1.5569073910452025,1.557542953288366,1.2480156061878256,0.9400026728861982,0.7111624329866931,0.662,0.788,2.3355371798468463,3.7009295004088685,5.071331117918098,9.604656902693412,,
VAR(1)+GARCH-diag,0,5,-0.016754482600106094,1.46726315087819,1.4646093372636304,1.21021045164204,0.9416551949932329,0.7013990373000493,0.668,0.812,2.355790570260528,3.726317973415404,4.905397703605232,9.674390787476725,,
VAR(1)+GARCH-diag,0,6,-0.017581583842272954,1.4524634277689836,1.4498676130038481,1.204104485916338,0.9378118754269859,0.6941334134770714,0.648,0.804,2.3568460329667444,3.7412422428263885,4.775332175782095,8.735109891768918,,
VAR(1)+GARCH-diag,0,avg_all,-0.01881058388764684,1.4033093915148696,1.401365407138621,1.1815744556862358,0.9110561142005036,0.6816107639398266,0.6566666666666666,0.802,2.2702616948173993,3.56493313675847,4.747532981970886,9.107850012433726,,
VAR(1)+GARCH-diag,1,1,0.0006013180799725894,1.1517590523348833,1.1494558958136465,1.0721268095769485,0.845570690439241,0.6273316718930508,0.616,0.78,2.0458157574264977,3.1124580657007326,4.303510744316387,8.776585049451475,,
VAR(1)+GARCH-diag,1,2,0.015734855877653376,1.368715137861254,1.3662252932750205,1.1688564040441496,0.896060487828904,0.6691248945984891,0.652,0.802,2.2671373928451124,3.5530058842824825,4.636789482761199,8.638908889936216,,
VAR(1)+GARCH-diag,1,3,0.051398231878997364,1.6317436546197925,1.6311219455508386,1.2771538456861173,0.9835365571384489,0.7311480742214065,0.63,0.788,2.335839436310797,3.6736578774137327,5.075043873633664,9.619941026787485,,
VAR(1)+GARCH-diag,1,4,-0.04732769632504933,1.7816729043570434,1.7803494693877648,1.3342973691751643,1.0058540302929573,0.7633716850317448,0.62,0.796,2.3478086016746316,3.719921305596134,5.43283181216488,10.942173287378022,,
VAR(1)+GARCH-diag,1,5,-0.027888341614127586,1.570093518795727,1.567731091356122,1.2520906881516698,0.9824398192581103,0.7327255131419584,0.628,0.8,2.3489996885335778,3.743189432227693,5.0828453405646545,9.772151041853423,,
VAR(1)+GARCH-diag,1,6,0.02064949569736336,1.710301631963456,1.707307430372086,1.3066397477392482,1.022779656459881,0.7660542966870587,0.588,0.778,2.3546149229505504,3.762703698237969,5.368938016816115,9.821200364582092,,
VAR(1)+GARCH-diag,1,avg_all,0.0021946439324682944,1.5357143166553593,1.5336985209592464,1.2351941440622163,0.9560402069029238,0.7149593559289512,0.6223333333333333,0.7906666666666666,2.2833692999568607,3.5941560439097895,4.983326545042819,9.595159943331451,,
VAR(1)+GARCH-diag,-1,1,,,,,,,,,,,,,2.2406819656762598,0.6189657131851835
VAR(1)+GARCH-diag,-1,2,,,,,,,,,,,,,2.649808242288663,0.6584076937772189
VAR(1)+GARCH-diag,-1,3,,,,,,,,,,,,,3.1924854659504636,0.7279137633316444
