model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95,trace_msfe,avg_crps
VECM(r=1),0,1,0.08396560895507085,1.0455740056092961,1.0505330810852749,1.0249551605242422,0.8183911556366898,0.637813278980506,0.722,0.906,2.501332926906377,3.7695019153523632,4.07780700596504,5.634128389322683,,
VECM(r=1),0,2,0.15574489660653196,1.78216372466019,1.8028558700298472,1.3427046845936925,1.0611464011119824,0.7940520458618174,0.728,0.912,3.1754876806241694,4.774747755133695,5.010534725344535,7.234090731615215,,
VECM(r=1),0,3,0.152867639176127,3.119106374439097,3.1362366767975005,1.7709423132325628,1.4353894749589649,1.0328550980882965,0.68,0.886,3.6740057608454064,5.549253376943066,6.583650864669193,9.552166113036892,,
VECM(r=1),0,4,0.1945891030102736,4.263639700330507,4.292977339940185,2.07195012969429,1.6417319144383329,1.211223756871168,0.686,0.864,4.157926955918019,6.263441092281187,7.826827107478203,12.10243147017664,,
VECM(r=1),0,5,0.1225287768621133,4.935289235550639,4.94043195823886,2.2227082485649934,1.786349385212847,1.3130906440163932,0.662,0.848,4.556532852789845,6.859946931158149,8.427769240963253,11.776762715799793,,
VECM(r=1),0,6,0.026914869223991437,6.462140354393412,6.449940483869965,2.539673302586371,2.0588344624625807,1.4884865993920144,0.642,0.848,4.94095938840887,7.449994718320945,9.561652249173541,14.197241527791002,,
VECM(r=1),0,7,0.08684092798509038,8.077223058603087,8.068609959259197,2.8405298729742654,2.2794021626016168,1.6833839685607637,0.62,0.832,5.304247828214952,7.995526485231706,10.898612424445439,16.424184442830303,,
VECM(r=1),0,8,0.08514177847763146,8.739267072407182,8.729037660704702,2.954494484798491,2.3852179844499592,1.7401082854729746,0.646,0.846,5.629027548046478,8.536948216678823,11.153851292566172,16.539535062141002,,
VECM(r=1),0,9,0.09645720156765765,9.852736330396606,9.842334849470067,3.137249567610149,2.494627558764428,1.8276041036109016,0.656,0.83,5.915595311417961,8.964243589140132,12.1281403647013,18.607793310835174,,
VECM(r=1),0,10,0.1823835077784949,11.67111776207453,11.681039270459966,3.4177535415035365,2.705914054163953,1.9992363663962596,0.65,0.818,6.221672192877485,9.404176682172949,13.200879329279731,20.947423359000364,,
VECM(r=1),0,11,0.12401967672124888,13.574209585446338,13.562442046489501,3.682722097374373,2.940085840588289,2.1632467350115174,0.622,0.806,6.493570882459488,9.864175125867556,14.475845059027602,23.095505303631317,,
VECM(r=1),0,12,0.15014390703429634,14.58074635231258,14.574128052427488,3.817607634687919,3.0400382620605315,2.2522239100173485,0.612,0.8,6.797016679449359,10.278132312783308,15.059247517203783,24.40413329707901,,
VECM(r=1),0,13,0.14358599047977436,15.50302596418257,15.49263684891628,3.9360687048013125,3.1136457348117124,2.3258818908965364,0.606,0.822,7.048129354747067,10.670343003611496,15.565196502175276,24.45529463975794,,
VECM(r=1),0,14,0.13914817571339763,16.815176144903493,16.800908007418045,4.098891070450402,3.2872797773668423,2.416768835288136,0.598,0.826,7.321240674320065,11.020434304701132,15.929153646174656,24.5733512997417,,
VECM(r=1),0,15,0.09052063194902667,18.063584660172417,18.035651475660522,4.2468401754316725,3.3909223400147392,2.501587451314406,0.616,0.802,7.5595033158104865,11.398591260187862,16.609527522409955,26.74386328809581,,
VECM(r=1),0,16,0.15499666432023618,19.27535419516967,19.260827452729753,4.38871592299271,3.4829098979027684,2.5818033054373815,0.61,0.8,7.796964800171727,11.742480537170271,17.445031275197262,27.390926769429132,,
VECM(r=1),0,17,0.1467636633112627,20.06456371181071,20.045974157255625,4.477273071553222,3.592231643589494,2.640290802364556,0.614,0.802,8.039483738269386,12.10134436213231,17.567510981241576,27.636856270091393,,
VECM(r=1),0,18,0.0808597844738255,21.952714511726125,21.91534738744784,4.681383063523839,3.7048155567770453,2.750329311361405,0.612,0.814,8.265267480752643,12.493511010679853,18.578094203493464,30.30139053035365,,
VECM(r=1),0,19,0.1416168809495446,22.65833639013227,22.633075058321936,4.757423153170415,3.7868678784698004,2.8109763926585734,0.618,0.774,8.460195635342492,12.76458053928229,19.037924304472,31.2799610814435,,
VECM(r=1),0,20,0.27774524132247347,23.51837037997563,23.548476058292955,4.852677205243818,3.830795168269286,2.8482159833975507,0.642,0.81,8.674792689154453,13.078279683038796,19.241085189327286,31.463215802131018,,
VECM(r=1),0,21,0.24367929166595798,25.05557358976522,25.06484203977252,5.006480004930862,3.92985108211328,2.9475339161759235,0.632,0.802,8.880022513372923,13.37363153395254,19.90622115817194,33.654963486533426,,
VECM(r=1),0,22,0.28575763607088966,27.929360632120897,27.955159337429453,5.287263880064002,4.173464622679379,3.1277907763924504,0.61,0.792,9.071860395815907,13.681132464702666,21.13542626008684,36.555835337357486,,
VECM(r=1),0,23,0.3540530426210865,29.328966942211476,29.395662565316332,5.421776698215847,4.3093865477327515,3.194886622841959,0.596,0.802,9.235721448172553,13.956813491082169,21.45975377804367,35.51673788978743,,
VECM(r=1),0,24,0.4275956071413941,30.835041067907596,30.95620898901844,5.563830424178871,4.457756247708894,3.298222479869184,0.588,0.804,9.439752912951288,14.27157916167424,22.03782117781223,37.39074135553048,,
VECM(r=1),0,avg_all,0.16449668764239153,14.96263673942923,14.96813902609801,3.6475797671959107,2.9044606314119235,2.1494838566782506,0.6361666666666667,0.8269166666666666,6.631679623618307,10.010950398053314,14.288231799142663,22.811605561396348,,
VECM(r=1),1,1,0.10994348564245146,0.9713155589563123,0.9814604978736106,0.9906868818519858,0.7970856797373012,0.5981182183203217,0.766,0.93,2.487733124666646,3.7360882217882576,3.7021526225113286,5.063014042154192,,
VECM(r=1),1,2,0.1502071147254465,2.037276986954677,2.055764610294911,1.4337937823463007,1.138451673044477,0.8391965437192018,0.726,0.894,3.129648117534951,4.715401881398641,5.2875315180832425,7.9548979244727445,,
VECM(r=1),1,3,0.09914046949560909,2.8314080017316146,2.8355740184199654,1.6839162741716007,1.3432319769018837,0.9901880417763407,0.716,0.882,3.67062656826553,5.531900877413368,6.328162268786392,9.100583550574193,,
VECM(r=1),1,4,0.06825747073950536,3.952059994584673,3.948814956907257,1.9871625391263938,1.5809174204494112,1.1706869871601142,0.666,0.874,4.139225422059914,6.2565295768018885,7.529558251435942,10.427883231660338,,
VECM(r=1),1,5,0.14685098911992156,5.036730494546604,5.048222246563009,2.2468249256590975,1.7971304028661235,1.321899312861939,0.65,0.86,4.53611985024199,6.860131997385202,8.534126364744246,11.97972408664302,,
VECM(r=1),1,6,0.12387505114914868,6.237507443302841,6.240377456713442,2.498074750025195,2.0354560581366927,1.496802343238036,0.63,0.842,4.935612209159457,7.434325689700484,9.529341935202915,13.611502130509363,,
VECM(r=1),1,7,0.11964561192124322,7.58991847862401,7.589053714118776,2.7548237174307135,2.221420656677307,1.6286277932884186,0.626,0.834,5.297212707105902,7.975142527790804,10.582840642510416,15.124916412350126,,
VECM(r=1),1,8,0.1018455894956238,8.970175503826257,8.962607676918301,2.9937614595886397,2.399575541123429,1.7591601180131282,0.628,0.834,5.618415317734352,8.481605629872721,11.60060520872967,17.418990048552086,,
VECM(r=1),1,9,0.09848180893550967,10.46783073027625,10.456593735506905,3.233665680849971,2.6110848674934575,1.9041879028093482,0.624,0.816,5.92246691228024,8.965136809575851,12.474370781527414,19.453633029858402,,
VECM(r=1),1,10,0.04159601347595827,11.786198983396078,11.764356813766359,3.4299208174193114,2.7302323874377845,2.015816953379668,0.604,0.81,6.234216028689616,9.428622588823742,13.396304447297219,20.846220908573763,,
VECM(r=1),1,11,0.1075973717132756,12.704626788932115,12.690794729753854,3.5624141715631343,2.795013629939324,2.087723070383656,0.616,0.8,6.518262489119702,9.84185163647305,14.073012258425132,21.47787206724435,,
VECM(r=1),1,12,0.17374800179653832,13.691312399940573,13.694118143268987,3.7005564640022706,2.9603187493238776,2.177759243207076,0.612,0.82,6.791605178336432,10.263067299972242,14.131688123866889,22.17149237889891,,
VECM(r=1),1,13,0.1689729725277581,15.300326646562018,15.298277858713773,3.911301299914617,3.1509413995869076,2.3053116138621643,0.608,0.822,7.081205556161303,10.650487917367224,15.041574855707864,23.552567575589155,,
VECM(r=1),1,14,0.14824791795013545,16.556024791942754,16.544890187535398,4.067541049274783,3.2323119366604436,2.4041045869297757,0.612,0.812,7.304783943325122,11.039603812801884,16.03450344083326,25.485720547897674,,
VECM(r=1),1,15,0.13924979895846565,17.378549142325085,17.363182550550412,4.166915231985216,3.3651940548741726,2.4642670539616573,0.628,0.796,7.566475171037605,11.402270145959527,16.327644393748358,25.12891721330892,,
VECM(r=1),1,16,0.09765949010595884,18.656552108916678,18.628776380706615,4.316106622953911,3.4975167054621448,2.5496601430420927,0.624,0.816,7.801913959712949,11.758282094207217,16.737803425031228,26.61053338384332,,
VECM(r=1),1,17,0.08161668702695637,20.01625301437987,19.9828817919524,4.4702216714557235,3.5772768790932945,2.643676628898778,0.62,0.802,8.043430375693701,12.106539070978567,17.733929828691767,28.603065720305565,,
VECM(r=1),1,18,0.1060246835507108,21.208375339600817,21.177199822443626,4.601869166158858,3.691970129512933,2.7437081626826267,0.622,0.786,8.227900993990762,12.45510160503021,18.385323870158444,29.382058298857537,,
VECM(r=1),1,19,0.11643353170609312,22.81915211940218,22.787070582468896,4.773580478264601,3.815265237156636,2.826582361309028,0.622,0.804,8.4538804834551,12.735788932464406,18.92882201526144,31.11154615827901,,
VECM(r=1),1,20,0.10300335021506549,24.405662955879873,24.36746132012364,4.9363408837036,3.939030049015784,2.9314153530922864,0.592,0.81,8.667474307477228,13.056504737712553,19.62278060119845,32.29273538930231,,
VECM(r=1),1,21,0.22572101497224825,26.09126429095839,26.090031738976553,5.107840222537952,4.113979020775825,3.037566430987667,0.596,0.796,8.866243172805845,13.386452901376817,20.320424452181364,32.78337872696254,,
VECM(r=1),1,22,0.3055774687178497,26.89033487982677,26.929931799455154,5.189405727003349,4.144987305929657,3.0699627754057355,0.6,0.808,9.063812496652151,13.681331151310971,20.42971069779002,32.825606870753354,,
