model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95,trace_msfe,avg_crps
VAR(1),0,1,0.06317737090511419,1.0887145378427987,1.0905284889615938,1.044283720528858,0.8263185943675255,0.5882625144947023,0.794,0.936,2.548879874939917,3.8981753759383424,3.6882166682795003,5.101702036268739,,
VAR(1),0,2,-0.008606786732550161,1.9425936366461793,1.9387825261507479,1.3924017114865768,1.1087177025821005,0.7836132278229042,0.796,0.944,3.4931065209097225,5.342245415022123,4.858788076759277,6.714849557432449,,
VAR(1),0,3,-0.08876649357102008,3.2976957141556142,3.2989798131081973,1.8163093935528158,1.4299253598575874,1.019851430336749,0.756,0.904,4.142621090961098,6.335592229119082,6.5377830081309165,9.18072774694174,,
VAR(1),0,4,-0.028317929784972697,3.764113752004946,3.7573874296482397,1.9383981607627057,1.5402344663002345,1.0911693267607159,0.784,0.932,4.642043305529362,7.099392594200046,6.8057843890917935,9.453659093925804,,
VAR(1),0,5,-0.0313978182394917,3.7346609646865954,3.7281774657474194,1.9308488976995117,1.539409090161962,1.0912238972581882,0.816,0.948,5.042840697321,7.712359309023871,6.792639473245002,9.278730298049787,,
VAR(1),0,6,0.06992245326682264,4.82964412287734,4.824873984102437,2.1965595790013155,1.7269239937883216,1.2380613526670405,0.784,0.932,5.369411085472057,8.211805618015218,7.840118110058748,10.655666595309308,,
VAR(1),0,7,0.07094678766996355,5.254637916715934,5.249162087563194,2.2911049926974525,1.81319464140411,1.2922627561324012,0.774,0.942,5.643841453691445,8.631510647789424,8.07382005736989,11.146928004250263,,
VAR(1),0,8,-0.04967694016338114,5.812478616728398,5.80332145787894,2.409008397220512,1.9210545482421038,1.370684096428258,0.756,0.932,5.877975091660794,8.989587146876097,8.642366517121385,11.199754788406675,,
VAR(1),0,9,-0.10553538591705706,6.212570088199024,6.211282665703293,2.492244503595763,1.9441146495943569,1.3964126897319693,0.78,0.916,6.0774085487164955,9.2945942988711,9.04280033819213,12.19239282882934,,
VAR(1),0,10,-0.009411067208110656,6.606836871413559,6.593711765856728,2.567822378175081,2.060418394174192,1.4586502054822144,0.764,0.936,6.249877613927986,9.558362972212114,9.023461973963576,11.635983842871902,,
VAR(1),0,11,0.15830742162120043,7.769574925200197,7.779097015090142,2.7891032636118265,2.1823203114851104,1.5735026734967403,0.748,0.904,6.40078768855355,9.78916001473663,10.244359186306468,14.47992884330943,,
VAR(1),0,12,0.1586268761072514,7.3688773330340585,7.379302064191538,2.7164870815432822,2.158573579218337,1.5358836790148973,0.748,0.928,6.532497913628417,9.990593421306357,9.736389023489332,13.486019699895929,,
VAR(1),0,13,0.022828419237154663,7.461783415302474,7.4473809851967365,2.7289890042278913,2.164528389589002,1.5384232896108645,0.754,0.942,6.648209913762549,10.167559654222336,9.635922280481656,12.661376552832678,,
VAR(1),0,14,-0.02967315262374947,8.109941976599186,8.094602588632625,2.8451015076149084,2.2144414863109425,1.6006541224763278,0.766,0.912,6.750783881875555,10.324433001076233,10.463154614414812,15.21307352035033,,
VAR(1),0,15,0.031079412668617374,7.664864663350693,7.650500863915806,2.7659538795713505,2.2180434065620527,1.5747529660230137,0.778,0.922,6.8417583348400175,10.463566420376326,9.93315105348561,13.842461307118873,,
VAR(1),0,16,-0.061823539048332786,7.985242705375998,7.973094369945705,2.8236668305495436,2.2661119990049365,1.6024259160566365,0.784,0.944,6.922661089216984,10.587296505916454,10.042567104467718,13.671302128695562,,
VAR(1),0,17,-0.08986164009490227,9.028469443967381,9.018487619439988,3.0030796891591116,2.359741641673601,1.7011527266756745,0.758,0.916,6.994934400619669,10.69782899731294,10.976307607016677,15.717103710635447,,
