model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95,trace_msfe,avg_crps
VAR(1),0,1,0.029686902563532593,0.9467237801233638,0.9457116447469335,0.9724770664375245,0.7667749663158087,0.5460425886926088,0.824,0.952,2.5486512993265538,3.8978257997043584,3.4675290894989375,4.8900270851355945,,
VAR(1),0,2,0.0533388988893737,1.2888750871408783,1.289142375101326,1.1354040580785882,0.9029834201818177,0.6399833229998811,0.788,0.948,2.8501954551444095,4.358997789221913,3.9066328339415444,5.510853094183198,,
VAR(1),0,3,0.0753879651719218,1.4025111213489643,1.405389444399031,1.1854912249354825,0.9558558718722788,0.6723781368699598,0.788,0.946,2.9313018300651215,4.483039285510548,4.139957016020648,5.358046588238752,,
VAR(1),0,4,-0.005432382245188312,1.331717024892256,1.3290831016193303,1.1528586650666812,0.9183505173009817,0.6489657735026055,0.806,0.944,2.9567349616961773,4.521935903759187,4.071204441055663,5.475492541655077,,
VAR(1),0,5,0.09071709504847152,1.4384410414982103,1.4437937507492475,1.2015796897206807,0.9637238403600632,0.6788577088024853,0.784,0.95,2.9657058261131084,4.535655656939697,4.172174041622514,5.581562407531604,,
VAR(1),0,6,0.011835809981736613,1.5703399549636559,1.567339361451649,1.251934248054445,1.0137628441124225,0.7126649127955891,0.754,0.93,2.9691931480460383,4.540989055590829,4.383452161437587,5.719967407101345,,
VAR(1),0,7,-0.014910673459430073,1.467873947013221,1.46516052730221,1.21043815509187,0.970647843591255,0.6840102018362212,0.79,0.938,2.9706642346767684,4.5432388884433665,4.194803225794314,5.798930097684596,,
VAR(1),0,8,0.0008865053216542511,1.4041149811034968,1.401307537032974,1.1837683629126832,0.9444429681759019,0.6676326449034297,0.8,0.95,2.9713301751011567,4.544257356433846,4.204165213286655,5.644115265200591,,
VAR(1),0,9,-0.002449320352720494,1.3123767427974418,1.3097579884820367,1.1444465861201372,0.8992021064116512,0.6395955163324312,0.822,0.942,2.97165017921335,4.5447467604903515,4.08913938108087,5.544563580889599,,
VAR(1),0,10,0.04951308120444786,1.4653825970053183,1.4649033770216673,1.2103319284484184,0.9591836624401684,0.6837101396183054,0.77,0.938,2.9718116000844037,4.544993632408833,4.28840179717488,5.778438161369924,,
VAR(1),0,11,-0.048361400224126425,1.2274018868257004,1.2272859080836862,1.1078293677654905,0.8754263733688339,0.624061151997172,0.826,0.954,2.97189637867852,4.545123290079737,3.987099358305568,5.516093989055606,,
VAR(1),0,12,0.021868044336662586,1.3986849162950694,1.3963657578255886,1.1816792110490852,0.9421742331357207,0.6711739299070388,0.784,0.934,2.9719425239996355,4.545193863258274,4.15494363456489,5.655591719661125,,
VAR(1),0,13,0.04811080723875676,1.3684344114422864,1.3680121923925677,1.16962053350331,0.9118281800969744,0.6570303226770509,0.792,0.934,2.9719684634843917,4.545233534276799,4.213854917100251,5.801255286754755,,
VAR(1),0,14,0.02429128878629001,1.3206921425747902,1.3186408250005397,1.1483208719693898,0.9139745207056921,0.6517429280799653,0.782,0.934,2.9719834627238266,4.545256473633979,4.153478622359272,5.336089146625675,,
VAR(1),0,15,0.038469591832980606,1.2282526659744137,1.2272760701382615,1.107824927566744,0.8888177768496625,0.6277825518969476,0.818,0.962,2.971992349503768,4.545270064791043,3.8332316024094766,5.267160396854448,,
VAR(1),0,16,-0.02294159609099223,1.3082798393116148,1.3061895964641925,1.1428865195040987,0.9129694442160329,0.6469140543958003,0.8,0.954,2.971997727352917,4.545278289501559,4.061357607761878,5.3975117735177855,,
VAR(1),0,17,-0.014434975537087377,1.3913937825607514,1.3888193635143875,1.1784818044901617,0.9334505551434052,0.6647705840687433,0.794,0.93,2.972001043013251,4.54528336036645,4.1914847219862486,5.758806116186327,,
VAR(1),0,18,0.03319899680792699,1.3198936889947694,1.3183560750058323,1.1481968798972728,0.9242134312075901,0.6507919693688596,0.788,0.958,2.9720031208713213,4.545286538176134,4.046119323173986,5.207961231796557,,
VAR(1),0,avg_all,0.020487479959678354,1.3439660895481225,1.3429186053517475,1.157420561145115,0.9220990308603478,0.6537838021525054,0.795,0.9443333333333334,2.9379457655052628,4.493200307921496,4.08661272158751,5.5134703271912535,,
VAR(1),1,1,0.06417367157500921,1.1239763940070322,1.125846701342436,1.061059235548344,0.8377696574026998,0.5965153081311787,0.784,0.932,2.5514779867607924,3.9021488450781194,3.7802768145183867,5.1726859392498445,,
VAR(1),1,2,0.034135252357359584,1.3576503480792772,1.3561002628366183,1.1645171801380254,0.9195147403157389,0.6540822773682156,0.792,0.936,2.8646043220823314,4.381034249568596,4.094853390545007,5.606146364168363,,
VAR(1),1,3,0.03788114648511716,1.464197111632904,1.4627036986686655,1.2094228783468028,0.9683849458873909,0.6859758569862039,0.782,0.93,2.9820464891521743,4.560646544470991,4.281222403001091,5.811948265814466,,
VAR(1),1,4,-0.0009594497246976726,1.6063803207643355,1.6031684806665827,1.266162896576338,1.0136099062233122,0.7192642366548494,0.772,0.92,3.026397112458534,4.628474969568684,4.5247321800280975,6.2418815951513595,,
VAR(1),1,5,0.018899945121431824,1.5287235979312856,1.526023358661015,1.2353231798444546,0.9783750673965825,0.7003886383602176,0.768,0.938,3.0426325733407937,4.653304964285373,4.414654897882023,5.874518375973695,,
VAR(1),1,6,-0.0337758492980724,1.4904668918578565,1.4886267660699477,1.2200929333743178,0.9817844380430718,0.6947335850295884,0.774,0.946,3.048661384476998,4.662525235255531,4.248864735825792,5.669014723557759,,
VAR(1),1,7,-0.023073044799692365,1.403517042068439,1.4012423733806294,1.1837408387736859,0.9188440766308689,0.6612253493732401,0.82,0.942,3.051029276269193,4.666146613245125,4.246368945653336,6.129103874051211,,
VAR(1),1,8,-0.019430082531738134,1.4577204748539414,1.4551825620114243,1.2063094801962821,0.9554302962577653,0.6833762780060165,0.782,0.938,3.0520297747839664,4.66767674368097,4.329098251354361,5.561707371653428,,
VAR(1),1,9,-0.048393622500114065,1.603260180065714,1.6023956024042678,1.2658576548744602,1.0225550012873856,0.7228984411285873,0.754,0.93,3.0524831609911294,4.6683701380484,4.468653935266826,5.797673994995836,,
VAR(1),1,10,0.04371399086770847,1.3131542479866678,1.3124388524882773,1.1456172364661232,0.9104026822269575,0.6460882569853282,0.806,0.962,3.0527012450196023,4.66870366878794,4.051627552285695,5.3788009116901385,,
VAR(1),1,11,0.058192726523454745,1.465245977179815,1.4657018786456901,1.2106617523675596,0.9735745520797368,0.6872266288432394,0.764,0.956,3.052811382124272,4.668872108953998,4.2243095137412165,5.567666989468909,,
VAR(1),1,12,0.06942231391486685,1.5052132812317123,1.5070223123385442,1.2276083709141707,0.9862548092687079,0.6936696414725338,0.792,0.946,3.052869273975226,4.668960646899663,4.324240271051816,5.936959797386846,,
VAR(1),1,13,-0.0008828346630587845,1.4833142688693057,1.4803484197286079,1.216695697259018,0.9679539667677681,0.6908210730533332,0.772,0.946,3.052900777036714,4.66900882667453,4.339920335986556,5.650508710213857,,
VAR(1),1,14,-0.03329801859440045,1.3635359092373334,1.361917595461172,1.167012251632849,0.938656322792919,0.6617306340946546,0.806,0.954,3.052918468110098,4.66903588283647,4.079070698801215,5.440514871461001,,
VAR(1),1,15,-0.04301917252092046,1.3222674020743153,1.32147351647455,1.1495536161808853,0.9211448043987468,0.651973550204502,0.806,0.958,3.0529286907241895,4.669051516975569,4.0057806949851225,5.358596192255921,,
VAR(1),1,16,-0.07286942910908577,1.5140640457495007,1.5163458713566842,1.2313999640070987,0.9951969494379486,0.7005030375231173,0.782,0.942,3.0529347497038977,4.669060783385393,4.32138077342341,5.723734023753469,,
VAR(1),1,17,-0.023560691736547155,1.6513587793952955,1.648611168031609,1.2839825419496984,1.022691124593349,0.726632324423445,0.76,0.932,3.0529384222528986,4.66906640006439,4.543867939341845,6.078523637224062,,
VAR(1),1,18,0.06726828922193397,1.5667360683183569,1.5681276189165654,1.2522490243224649,0.9951602727340498,0.7091606071798148,0.764,0.946,3.0529406929610747,4.669069872812874,4.443736949239561,5.848109741402939,,
VAR(1),1,avg_all,0.005245841143808586,1.4567101300723937,1.455737613304627,1.2054037073762542,0.9615168674302779,0.6825703180454481,0.7822222222222223,0.9418888888888889,3.0081836545679934,4.600619889477367,4.262370015718409,5.713783076637395,,
VAR(1),2,1,0.026752820057029062,1.1074472764283276,1.1059480952564757,1.0516406683161676,0.8544880335625352,0.5980504612433455,0.762,0.936,2.5552859378681547,3.9079726037359706,3.645075896281413,4.823307472134883,,
VAR(1),2,2,0.02806453608328339,1.3587695309277728,1.3568396100514866,1.1648345848451989,0.9369334774082544,0.6617503918148224,0.774,0.94,2.855618823618751,4.36729211554508,4.086309094639878,5.495512315325127,,
VAR(1),2,3,0.03703855130311655,1.3866775440440577,1.385276043238603,1.1769775032848346,0.9336044154234934,0.6609076675104881,0.808,0.936,2.9597337199440115,4.526522108733002,4.190334327318358,5.8969594098617835,,
VAR(1),2,4,0.05733230801073401,1.320529177813012,1.3211751129992222,1.1494238178318832,0.9071401642969942,0.6450713780332888,0.81,0.948,3.003657286259808,4.593697406525194,4.085992437023726,5.631085807602361,,
VAR(1),2,5,-0.007774131294858465,1.5120827012642595,1.5091189729791221,1.2284620356279319,0.9769303778808539,0.6916696969392344,0.78,0.932,3.0230643267375026,4.623377913658471,4.374390181004177,6.0631744777166485,,
VAR(1),2,6,0.005686896257633078,1.4408114141519786,1.4379621321127198,1.1991505877548156,0.9521824931724774,0.678987414050958,0.788,0.932,3.0314273367355846,4.6361680337279765,4.265237938107319,5.84898853750095,,
VAR(1),2,7,0.05559816462391839,1.4446880247262028,1.4448898045862975,1.2020356918936714,0.9397015018608904,0.6727560818759892,0.812,0.946,3.0349392134908117,4.641538985739152,4.253023533753309,6.006765958781682,,
VAR(1),2,8,-0.013907277947598091,1.5129864697692832,1.5101539092096576,1.2288831959180082,0.9786807666765706,0.6965103160377224,0.786,0.92,3.0364146005114816,4.64379539547054,4.424042961006471,5.684658850501198,,
