model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"ARIMA(4, 0, 1)",1,0.008281264180721429,1.0652760561037735,1.0632140833279964,1.0311227295176828,0.8273630778441348,0.5832089753499393,0.76,0.926,2.4370766799542647,3.7271871446257214,3.604451648802804,5.078468873412976
"ARIMA(4, 0, 1)",2,0.0038845063403545295,1.279039340955047,1.276496351662644,1.1298213804237571,0.894371932636218,0.6403826998346154,0.744,0.92,2.6275793867672474,4.018535892775532,4.052976571737196,5.479485188561146
"ARIMA(4, 0, 1)",3,0.030355317534592093,1.268501905673204,1.2668863471644838,1.1255604591333528,0.9044765457046894,0.6371000761828751,0.774,0.922,2.6803393588739155,4.0992253070251,3.9616627627959056,5.60131802180127
"ARIMA(4, 0, 1)",4,0.0397901820416,1.3502707273223258,1.3491534444545852,1.1615306472300182,0.9449843548306475,0.6675373024193525,0.718,0.928,2.7117688088929848,4.147292502873818,4.088233779831367,5.288589113242313
"ARIMA(4, 0, 1)",5,-0.059494260862375616,1.2937821503324498,1.294734153107348,1.1378638552600868,0.9306195579508126,0.649009376543439,0.75,0.95,2.73326706663648,4.180171250823152,3.9456865966351407,5.127020270160999
"ARIMA(4, 0, 1)",6,0.006760898819065497,1.444587909662536,1.4417444435960531,1.2007266315011311,0.9594307041693182,0.6816132429259448,0.746,0.916,2.744954098094242,4.19804502302183,4.270525048198274,5.604676074352672
"ARIMA(4, 0, 1)",7,-0.03905310184437741,1.406535215702624,1.4052472900348862,1.1854312675287784,0.9570122485478829,0.676287190330978,0.734,0.918,2.7541052260286976,4.212040465461808,4.152244750384025,5.501623157120449
"ARIMA(4, 0, 1)",8,-0.07771988152612619,1.2807809098753378,1.2842597280400234,1.133251837871893,0.9067291093755747,0.6439261153693303,0.766,0.94,2.760472706390698,4.221778686316382,3.997878909986779,5.143781398640184
"ARIMA(4, 0, 1)",9,0.03757846036662425,1.3668392128936762,1.365517675151416,1.1685536680663906,0.9456452348758657,0.6663820533584957,0.748,0.928,2.76631246055434,4.230709819598121,4.149040670454564,5.496306101952432
"ARIMA(4, 0, 1)",10,0.011832234390495078,1.2812285696788575,1.2788061143101708,1.1308430988913407,0.9143200271576406,0.6471142939842196,0.764,0.93,2.770458562511237,4.237050735352298,4.029442909190363,5.112526183401341
