model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"ARIMA(1, 0, 1)+trend",1,0.002622793141103337,0.9379140810722065,0.9360451319539221,0.9674942542226915,0.7633624535691349,0.5459601634177321,0.81,0.952,2.5110785991781714,3.840363313548794,3.440651819756201,4.578352317816828
"ARIMA(1, 0, 1)+trend",2,0.026545653974625875,2.2977362762861233,2.2938454754784896,1.5145446429466811,1.2318922514138237,0.8647189630060151,0.78,0.956,3.875985322913363,5.927808011601754,5.240556163934523,6.71163414662438
"ARIMA(1, 0, 1)+trend",3,0.02541539251833118,3.6880333819377156,3.6813032573507,1.9186722641844542,1.551963556976569,1.0938179433757216,0.752,0.932,4.6320893968416685,7.084169404546348,6.763662316896216,8.833669031520309
"ARIMA(1, 0, 1)+trend",4,-0.044993371232505776,4.809787298155749,4.802192127014299,2.1913904551709398,1.7694490727814778,1.248084593881279,0.756,0.922,5.122823956107414,7.8346831474102725,7.778581372645657,10.312475961021082
"ARIMA(1, 0, 1)+trend",5,-0.06229391928722192,5.698065540823697,5.690549942122222,2.385487359455552,1.8734064602984524,1.3490041411169116,0.732,0.912,5.461850742181057,8.353179873069784,8.572570310485103,11.776743670535543
"ARIMA(1, 0, 1)+trend",6,0.023577112248327294,6.460019885299457,6.44765572575084,2.539223449354318,2.001611175554748,1.4400859307343585,0.74,0.908,5.704454289896181,8.72420998128179,9.107968638211492,12.528277817126952
"ARIMA(1, 0, 1)+trend",7,0.022803354011282917,7.154728083549758,7.140938620336829,2.672253472321971,2.1185443473229797,1.5094620113571882,0.744,0.904,5.882155243055283,8.995980136751344,9.628743978633869,13.941868674549731
"ARIMA(1, 0, 1)+trend",8,0.0016329986044322986,7.8228813858516615,7.8072382897644115,2.7941435699985804,2.229609410563494,1.5848386898656766,0.72,0.896,6.014556938462471,9.198471055936357,10.021314835569738,14.144286131504987
"ARIMA(1, 0, 1)+trend",9,-0.013247001808667794,8.346236086725014,8.329719097608479,2.886125274067028,2.303660601482147,1.6415703160195825,0.706,0.9,6.114531646119099,9.351369176964088,10.375419525610974,14.496734763861053
"ARIMA(1, 0, 1)+trend",10,-0.03090823986196919,8.810221943875824,8.793556819279445,2.9653931980901698,2.3412794261801158,1.6833024426410979,0.71,0.888,6.190850596469584,9.468088939201106,10.901802657635779,15.53051553471928
"ARIMA(1, 0, 1)+trend",11,-0.055724596384109586,9.500496664010905,9.484600901325045,3.0797079246780927,2.4299896502512848,1.7524858864573132,0.686,0.882,6.2496535430311395,9.558020285347526,11.396452366010214,16.40611864454497
"ARIMA(1, 0, 1)+trend",12,0.03227527171718047,9.839494727720606,9.820857431429577,3.133824728894323,2.4663010081710546,1.7824203490836026,0.674,0.874,6.295327494468322,9.627872566172817,11.585247759372418,17.162506462700325
"ARIMA(1, 0, 1)+trend",13,0.10734757027967175,9.957822325653572,9.949430181847209,3.154271735574982,2.497370396808542,1.7979504245059375,0.682,0.868,6.331058752085039,9.682518809003726,11.56408940931767,17.01365301637165
"ARIMA(1, 0, 1)+trend",14,0.07184940773265279,10.24060128973418,10.22528242454624,3.1976995519507834,2.5292916882208902,1.8238674817074403,0.666,0.864,6.359192851111878,9.725546200419425,11.824392426204092,17.335846585605914
"ARIMA(1, 0, 1)+trend",15,0.16420244604737783,10.361187981916634,10.367428049240736,3.219849072431926,2.5225899151872326,1.822464745018157,0.692,0.862,6.381476118562383,9.759625517112632,12.001273900157749,18.034261960751177
"ARIMA(1, 0, 1)+trend",16,0.13565856282142547,10.773411145205799,10.770267568582172,3.281808581953276,2.586353584250142,1.863510757256075,0.682,0.87,6.399221550474633,9.786764813238678,12.20134154543719,18.4761587734054
"ARIMA(1, 0, 1)+trend",17,0.24234748694952282,10.830925120446405,10.867995574636275,3.2966643102742923,2.6301860192590842,1.8959415344237003,0.678,0.846,6.413424874295933,9.80848692251541,12.307840221765048,18.635214555457054
"ARIMA(1, 0, 1)+trend",18,0.2662274621392279,10.59097962705164,10.64067472939464,3.2620047102042387,2.6030331353505405,1.8824554437142842,0.668,0.866,6.424847035352952,9.82595561039286,12.31818855327109,18.112998346551162
"ARIMA(1, 0, 1)+trend",19,0.24338518366081158,11.187048973765096,11.223911223443181,3.350210623743406,2.6358391778660537,1.9244295918689753,0.664,0.856,6.434073604686825,9.840066430496766,12.681520906184788,19.1012922495197
"ARIMA(1, 0, 1)+trend",20,0.27808237835185196,11.90945968467937,11.962970574459824,3.4587527483848604,2.749855564952205,1.9887504913992342,0.664,0.832,6.441558059776625,9.851512916782841,13.141387188977445,20.75166999357415
"ARIMA(1, 0, 1)+trend",21,0.31492878995284834,11.840435730354777,11.91593500163525,3.45194655254615,2.7249336656448833,1.983576742550655,0.652,0.852,6.447653635674558,9.860835295644684,13.071311428965357,20.956286004051414
"ARIMA(1, 0, 1)+trend",22,0.34257548893618306,11.905109836769588,11.998657582715916,3.463907848473443,2.715528564472969,1.9834307891453378,0.656,0.848,6.452636975964161,9.86845665693276,13.223291379949309,21.247848513673137
"ARIMA(1, 0, 1)+trend",23,0.320821461093117,12.373830116543491,12.452008866208333,3.528740407880457,2.749119550445563,2.0208089541004166,0.652,0.832,6.456725836778142,9.874710029913327,13.590970429315762,22.08145083890785
"ARIMA(1, 0, 1)+trend",24,0.2687223424084351,11.919903145451057,11.96827503646964,3.4595194805738037,2.6839806395742456,1.9714214696140162,0.678,0.84,6.460092436442525,9.879858799787254,13.323651436597487,21.549333728031577
"ARIMA(1, 0, 1)+trend",avg_all,0.11182725116724727,8.719013763870015,8.73213915135807,2.882234842390684,2.279547971524901,1.6439316606775294,0.7018333333333333,0.88175,5.877388312497058,8.988689745586347,10.66925960712105,15.821633238434398
Chronos-2,1,0.0025520975867603466,1.0149111978327605,1.0128878886391877,1.0064233148328727,0.7911234454028392,0.5681990210943716,0.818,0.994,2.816625,6.9170083332061765,3.6912632881953895,7.000413587148065
Chronos-2,2,0.16659266982426033,2.4412295307479717,2.4641001893256504,1.5697452625587536,1.2692142689547397,0.8980822882327545,0.774,0.984,3.9915625,8.677399263381957,5.600314329744481,8.815752148045007
Chronos-2,3,0.2676049323960398,3.952577995262507,4.0162852391146675,2.0040671743019662,1.598708885673349,1.1405235243458132,0.778,0.97,4.9380625,10.166079311370849,7.214047832583302,10.747669459153208
Chronos-2,4,0.3068927381889717,5.324668013428119,5.408201830154388,2.3255540909973234,1.8548351474340228,1.3230298943243033,0.752,0.966,5.6700625,11.298669342041016,8.4508517595392,12.24803437240753
Chronos-2,5,0.38935805388062045,6.396500251208839,6.535306944828125,2.556424640944482,2.020523161661685,1.4386685886988078,0.782,0.958,6.2254375,12.273109451293946,9.252738176960461,13.643982492313288
Chronos-2,6,0.601696003178706,7.187603647706801,7.535266520652615,2.7450439924803782,2.173277440991235,1.5493419076530468,0.772,0.968,6.761,13.044468410491943,9.887783546211974,14.886071908825553
Chronos-2,7,0.6537170176612747,8.338611973925467,8.74928068915757,2.957918303327117,2.336298093671074,1.6719689515080558,0.762,0.96,7.3194375,14.018831789016724,10.74300840192782,16.500358210556783
Chronos-2,8,0.7091683962277692,9.344753640675606,9.828983947602532,3.1351210419380195,2.517775263872149,1.7767999288278273,0.788,0.962,7.8174375,14.811738061904908,11.328459478006959,17.3684307285065
Chronos-2,9,0.7527349429241944,10.422192337019125,10.967957846644167,3.3117907311066874,2.622411247249144,1.8762505949997283,0.776,0.958,8.196125,15.587115228652953,12.014059743387229,18.661719765937207
Chronos-2,10,0.8272175614461218,11.246087203664274,11.90788392322181,3.4507801905108084,2.7226212772850062,1.951817672472864,0.786,0.96,8.5206875,16.06989903450012,12.562616280065784,19.638766005760534
