model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"ARIMA(0, 1, 0)",1,0.020617947125649076,0.8851454846455495,0.8838002934199342,0.9401065330163035,0.7345258951364894,0.5293416904620192,0.814,0.956,2.5428719775349222,3.888987089759943,3.368197196098014,4.492258868090594
"ARIMA(0, 1, 0)",2,0.02006203586915099,1.888685060862198,1.8853101760236874,1.3730659765734812,1.1090140276887803,0.7818812323763324,0.784,0.956,3.5961640380134847,5.499858286240186,4.776982100643943,6.224483657740134
"ARIMA(0, 1, 0)",3,0.0017624168744715557,3.016070372868559,3.0100413382360633,1.7349470707304195,1.3905794547296222,0.9864059692791792,0.78,0.946,4.404383462241963,6.735923229456392,6.1225392095981075,8.056054133794891
"ARIMA(0, 1, 0)",4,-0.0466375445215089,3.9416551854709447,3.935946935658997,1.9839221092721853,1.574440267186149,1.122001369411557,0.792,0.95,5.0857439550806705,7.777974179536444,7.059729360887073,9.253549979017247
"ARIMA(0, 1, 0)",5,-0.06694461194050337,4.827211660932465,4.822038818678458,2.1959141191491205,1.737589380968282,1.2354734792837023,0.8,0.95,5.6860345998603234,8.69603949634206,7.785357205968961,10.335677481876408
"ARIMA(0, 1, 0)",6,-0.11766471262622404,5.745117876402108,5.747472625246713,2.39738870966865,1.8952887556529896,1.3474085895557377,0.8,0.962,6.228738826197301,9.526033986205718,8.422645760492307,11.387428670994343
"ARIMA(0, 1, 0)",7,-0.14457745208305067,6.56206665136181,6.569845157709917,2.5631709185518465,2.024153579129599,1.4372389206717364,0.804,0.956,6.727806868448796,10.289292691470669,8.99491699549828,12.248466076073601
"ARIMA(0, 1, 0)",8,-0.20712788020026543,7.743830331070776,7.771244629164894,2.787695218126417,2.2550976364260094,1.572131063172262,0.806,0.956,7.192328076034629,10.9997165724921,9.482877780034686,13.184885701573137
"ARIMA(0, 1, 0)",9,-0.18441189001584968,8.399093083298908,8.41630264231153,2.9010864589514616,2.3243966524789363,1.632991219802796,0.816,0.966,7.62861593262401,11.666961269309262,10.012128751955018,13.641200860059783
"ARIMA(0, 1, 0)",10,-0.20282392483382622,9.599040166595033,9.620979630746856,3.1017704026485995,2.44893665031115,1.7418442274950252,0.812,0.966,8.041267247247411,12.298056994662513,10.752482692455908,14.5618276430481
