model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"AR(1)+GARCH(1,1)",1,0.07084228071135022,2.01731563036098,2.018299627836644,1.4206687255784312,1.0848873663570495,0.77146423648202,0.792,0.952,3.521362757478116,5.385459599688315,4.796683057780855,6.777573333460552
"AR(1)+GARCH(1,1)",2,-0.0669192845068524,2.632530225065576,2.6317433552543554,1.6222648844298995,1.2589706097460869,0.8950715333164059,0.774,0.932,3.9107147077916973,5.9809220223031705,5.621544951050459,7.890345676377201
"AR(1)+GARCH(1,1)",3,0.002418041376249197,2.616336012866981,2.6111091877653463,1.6158926906714277,1.2742920942061193,0.8911279661205816,0.796,0.938,4.011536470008337,6.135115601488965,5.568625283316167,7.8254757024888555
"AR(1)+GARCH(1,1)",4,-0.006673235143772554,2.6737604794110035,2.6684574905194656,1.6335413954104332,1.2876082344579363,0.9295687476003449,0.76,0.916,4.044087630785375,6.18489830590231,5.965271097590441,8.051091499144832
"AR(1)+GARCH(1,1)",5,-0.03536472827492755,2.8438332490868894,2.8393962465946747,1.6850508142470584,1.3216384876917044,0.9458581924312379,0.748,0.93,4.057104489961771,6.204805874090351,5.983368516470561,8.168247959558038
"AR(1)+GARCH(1,1)",6,0.04705681675558835,2.864550649404637,2.861035892108991,1.691459692723711,1.329730926040233,0.942813178495791,0.776,0.922,4.063668644328755,6.214844881879152,5.927315958071494,8.237377626895508
"AR(1)+GARCH(1,1)",7,0.04378297042333028,2.6545903201315513,2.6511980879903834,1.6282500078275397,1.2416141778103293,0.9005936791773141,0.794,0.928,4.067770760778227,6.221118527604779,5.812963098344526,8.359102929504013
"AR(1)+GARCH(1,1)",8,-0.06699954163645191,2.833970566652125,2.832791564098319,1.6830898859236005,1.279308139521445,0.9288057868456792,0.758,0.93,4.070776431085205,6.225715303660825,6.002523337896826,8.332842270094488
"AR(1)+GARCH(1,1)",9,0.02919587178925942,2.5770153275789904,2.572713695853367,1.6039681093629534,1.2873846827897544,0.9128816866744464,0.778,0.922,4.073212261170151,6.22944058430291,5.81629259968222,8.256590353402403
"AR(1)+GARCH(1,1)",10,-0.0047940522813174746,2.6723272068727755,2.667005535396304,1.6330969154940878,1.284973377201931,0.9208329942122649,0.78,0.928,4.075309320546063,6.232647759855358,5.883251839693678,8.03148626881605
"AR(1)+GARCH(1,1)",11,0.12655184814152334,2.8063258081394595,2.8167285267912168,1.6783112127347588,1.3530189611837158,0.9556092044281155,0.75,0.926,4.0771833651792555,6.235513863791584,5.948101655068048,8.113935735345414
"AR(1)+GARCH(1,1)",12,0.11027146729400485,2.70762904813761,2.7143735865405096,1.6475356100978544,1.3026797281348093,0.9305556046314933,0.764,0.926,4.078899911040248,6.238139094141903,5.95376708346882,8.577995848146275
"AR(1)+GARCH(1,1)",13,-0.01656818333085594,2.9937040079786934,2.9879911046616217,1.7285806618904487,1.336434224240839,0.9692280461567788,0.77,0.894,4.080499933555294,6.2405861174129456,6.461404516823803,9.700675787837286
"AR(1)+GARCH(1,1)",14,0.03704758051547252,3.0847415245812644,3.079944564754147,1.7549770838259247,1.3613704294374205,0.9884553985778904,0.772,0.904,4.082011040598747,6.24289715620496,6.446834372373103,10.108234714658385
"AR(1)+GARCH(1,1)",15,0.014528996819527221,2.7758129284410336,2.770472394332734,1.6644736087822882,1.2998043513693767,0.9471890981243491,0.754,0.906,4.083452839815135,6.245102197822515,6.225759812680294,8.967013994198375
"AR(1)+GARCH(1,1)",16,0.097990218909827,2.7259694046777447,2.7301195488703804,1.6523073409237097,1.3080233110199684,0.9487962732103398,0.75,0.91,4.084839779228023,6.247223338610824,6.232602045628421,9.090056203316179
"AR(1)+GARCH(1,1)",17,0.0008397847637765695,2.831690363242214,2.826027687754176,1.6810793222671487,1.309074468544198,0.9443499131805945,0.776,0.916,4.08618278650684,6.249277290998095,6.0944674104380345,9.164700475240751
"AR(1)+GARCH(1,1)",18,-0.0067415725646546515,2.7206973509191084,2.7153014050179127,1.6478171637101953,1.2990559227995195,0.9369567099787126,0.764,0.926,4.087490285275943,6.2512769378060575,6.061979130655409,8.715718636747779
"AR(1)+GARCH(1,1)",avg_all,0.020914737764504247,2.7240444501971464,2.721928305674475,1.6484647292167482,1.2899927495862462,0.9255643472024644,0.7697777777777778,0.9225555555555556,4.030894634174067,6.164721358753612,5.933486431501843,8.464914723068464
Chronos-2,1,0.02049047378148909,2.1721976459779526,2.168273110201785,1.4725057250149438,1.1234738443452124,0.803943123125799,0.772,0.962,3.5338253173828127,6.334653730392456,5.111514513863387,6.984503035463737
Chronos-2,2,-0.0985409458258163,2.9098570586422294,2.913747662529191,1.7069703168272115,1.3269695863472117,0.9458992585628783,0.764,0.958,4.045429931640625,7.184998508453369,5.87046703773925,8.361758708213838
Chronos-2,3,-0.011882238236559282,2.8909792462226114,2.8853384753156726,1.6986284100166442,1.3400653076694657,0.9397073948571937,0.82,0.958,4.254565673828125,7.568991467475891,5.83908907077297,8.625949488972106
Chronos-2,4,-0.004885238679626696,3.0359775823170985,3.029929492709421,1.7406692657450527,1.3718696626624962,0.9829703426014758,0.77,0.968,4.364421020507812,7.738830590248108,6.293633213325744,8.440240350826492
Chronos-2,5,-0.017544579229154762,3.0286151061120763,3.0228656881601825,1.738639033313178,1.3658096464766587,0.9713139743328146,0.762,0.972,4.41761376953125,7.83269241809845,6.123382544989307,8.352640982404134
Chronos-2,6,0.058245183321643586,3.272577298403444,3.2694246451868083,1.8081550390347638,1.4247222478656818,1.0064194168808276,0.782,0.976,4.49618310546875,7.996801575660705,6.339152528590824,8.922466749807368
Chronos-2,7,0.04987902766098786,3.113198315440917,3.109459836210441,1.7633660528121893,1.3586073410520103,0.9782495982431707,0.81,0.958,4.5449501953125,8.108682566642761,6.341212624817664,9.346869397529595
Chronos-2,8,-0.06322796977357717,3.284695705490521,3.2821240902412296,1.8116633490362468,1.3717976093783164,0.9934962571597604,0.798,0.964,4.58952734375,8.198188603401183,6.397888792838197,9.438156319880987
Chronos-2,9,0.03948534644567207,2.959905762921785,2.955545043979879,1.7191698706003078,1.3749116521594535,0.9681296167007878,0.828,0.974,4.609302734375,8.263285879135132,6.139630054037419,9.205280593584986
Chronos-2,10,0.008323803704315319,3.073114057710099,3.067037115302785,1.7512958388869613,1.3732646253176717,0.9802205626659538,0.816,0.968,4.65341796875,8.328343866348266,6.22025007532927,9.276642785451717
Chronos-2,11,0.15372566693791254,3.188949120362127,3.20620280279691,1.790587278743181,1.4485353320279828,1.0165291031166825,0.778,0.968,4.690287109375,8.428298234939575,6.33867417232385,8.930707278563217
Chronos-2,12,0.1334691972819987,3.0191610853113082,3.030936789763786,1.7409585835865786,1.3838338364179348,0.9821999774922715,0.818,0.97,4.7066904296875,8.471486976623535,6.159886181937676,9.379243363547264
Chronos-2,13,-0.00039384838900535926,3.324990890691566,3.3183410640267335,1.8216314292487197,1.4034924180567634,1.0181076505994568,0.788,0.952,4.72852734375,8.545863688468932,6.777608889238464,9.916665685408157
Chronos-2,14,0.05433049845186185,3.5705914233865803,3.566402043601841,1.8884920025252532,1.4654205309336021,1.0547926928000697,0.778,0.964,4.7645234375,8.625212432861328,6.796446021434055,10.103009130647699
Chronos-2,15,0.034701833183471614,3.2322929558348714,3.227032587149495,1.796394329524978,1.4115851136523285,1.0137078725091886,0.794,0.958,4.77058203125,8.631504329681396,6.402001762870058,9.670986738674046
Chronos-2,16,0.10980434024891181,3.0930797069889335,3.098950540712457,1.7603836345275585,1.3898912879375107,1.0020386212961303,0.8,0.968,4.79096484375,8.688149613380432,6.524874950742868,9.760218915511057
Chronos-2,17,0.004806155149465352,3.2130538007174647,3.2066507922433467,1.7907123700481176,1.3981322778781193,1.0068158508266076,0.82,0.976,4.8972587890625,9.383227230072022,6.496816781529363,10.317487734094922
Chronos-2,18,0.0028546591290652895,3.213965713553391,3.2075459312050296,1.7909622919550903,1.4279728361884798,1.0174836136741308,0.806,0.982,4.933693359375,9.461820285797119,6.401224015479714,10.19336737305712
Chronos-2,avg_all,0.026313409175725312,3.08873347089361,3.0869893172964997,1.7550658234137206,1.3755752864648276,0.9823347181913998,0.7946666666666666,0.9664444444444444,4.543986911349826,8.210612888760037,6.254097401770004,9.179233035091025
