model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"ETS(A,Ad,N)",1,-0.002844583115274836,1.532734577165951,1.5296771996647198,1.2368011965003591,0.9935765087383863,0.7034641946657272,0.762,0.948,3.065526993624284,4.654075788285781,4.316196934079291,5.844232601674793
"ETS(A,Ad,N)",2,-0.0006172812910342982,1.7188883897347813,1.7154509939915046,1.3097522643582276,1.0673808180366682,0.7481082157569515,0.776,0.94,3.2959263031923802,5.015900686541143,4.650009975038567,6.024047482896377
"ETS(A,Ad,N)",3,0.04491884690715001,1.9979083290000503,1.995930215149518,1.4127739433998343,1.093518368654705,0.7936914200768048,0.806,0.93,3.6076977815962166,5.478698287798205,5.152517821772842,7.135057881944869
"ETS(A,Ad,N)",4,0.04357327246606987,2.285154611959482,2.282482932808968,1.5107888445474331,1.1900588410580026,0.8591025938008071,0.794,0.948,3.974451680220405,6.065625638393343,5.464642734383877,7.351633575102798
"ETS(A,Ad,N)",5,-0.05443357047660412,2.7462002213864674,2.7436708345385257,1.6564029807201284,1.3138998144022842,0.9480458226844738,0.8,0.932,4.396793616725249,6.698228952712958,6.089614789224827,8.548628478641941
"ETS(A,Ad,N)",6,0.06279556547186634,3.4865152918568225,3.4834855443160446,1.8664098007447465,1.485747355624313,1.0778706911338887,0.77,0.918,4.8316080417426654,7.376714320344934,7.0963120270215905,10.259714925762944
"ETS(A,Ad,N)",7,0.007731196494497925,3.4912186920311035,3.4842960260462745,1.8666269113152405,1.4837377126677906,1.0929871294408224,0.794,0.91,5.3152699308984905,8.104567837899552,7.4310631048281595,10.999998992741935
"ETS(A,Ad,N)",8,0.00620990955772956,4.178622113374935,4.170303432124905,2.0421320799901523,1.6402171380589874,1.2144974426501653,0.772,0.912,5.804101746013037,8.843413917276054,8.192445350847308,12.311292950002237
"ETS(A,Ad,N)",9,0.14408380007650057,5.082653851658916,5.09324868540008,2.2568226969348033,1.821283612026568,1.3300843669345812,0.792,0.908,6.300025572304429,9.567939061068815,8.860085072730197,13.64488198550474
"ETS(A,Ad,N)",10,0.08628604964788647,5.856785739178309,5.852517450063794,2.4191976872640635,1.9297258915640731,1.4405334277981967,0.778,0.898,6.783312103807272,10.329619763132966,9.844933859755393,15.749602151779273
"ETS(A,Ad,N)",11,0.16813312383597656,6.21948415143867,6.235313930466641,2.497061058618039,2.013066925695584,1.507693642321287,0.774,0.898,7.300822067396405,11.142277878441627,10.426198588933678,16.51975014339187
"ETS(A,Ad,N)",12,0.15045094052708152,6.629420587566782,6.638797231897136,2.5765863525015296,2.0617154829534683,1.5722657446572421,0.772,0.894,7.804878634843576,11.900540337521582,11.100106437173825,17.545877129790682
"ETS(A,Ad,N)",13,0.11970034998698786,8.026645738689137,8.024920620998781,2.8328290843252053,2.2857028322061144,1.7370707269344527,0.744,0.874,8.30449953797344,12.667601667712535,12.265215334231039,19.203248828331386
"ETS(A,Ad,N)",14,0.19354602170897525,8.410386100782063,8.431025391099867,2.9036228045494936,2.3352174334644276,1.800532845588564,0.742,0.862,8.79698460230436,13.427195647608855,12.87622018826312,20.57567744660919
"ETS(A,Ad,N)",15,0.2553596407223128,9.187642568944762,9.234475829916699,3.0388280355947583,2.4365170897549144,1.890221591559618,0.732,0.854,9.317542626512283,14.212557828505256,13.721805887611874,21.979928275145692
"ETS(A,Ad,N)",16,0.2520141428397518,10.043214286468775,10.086638986087094,3.1759469432103384,2.582960250907391,1.9957169055152486,0.738,0.856,9.81570599176462,14.985122352187256,14.504820366704259,23.482148042957142
"ETS(A,Ad,N)",17,0.2173746293863743,11.358551651551617,11.38308627774939,3.3738829674055664,2.672036591036114,2.098023186735296,0.736,0.862,10.29637363428448,15.711630429718664,15.338305496870642,25.450194780878917
"ETS(A,Ad,N)",18,0.3447451349831365,12.121018391778305,12.215625563089285,3.4950859164102512,2.7680944555980944,2.1936596630474754,0.74,0.86,10.792227639725134,16.48389044945046,16.190423961504692,27.844733573768977
"ETS(A,Ad,N)",avg_all,0.11327928831829912,5.79850251636483,5.811163730300512,2.303975087132787,1.843025395691549,1.3890872006278665,0.7678888888888888,0.9002222222222223,6.655763805829373,10.148088935811108,9.640050996165288,15.026147180384765
Chronos-2,1,0.025315590269439525,1.5830815171016135,1.5805562331781025,1.2572017472061128,1.0097366155887284,0.7163544130319366,0.742,0.982,3.0022225341796873,6.363610331535339,4.503963698380756,6.559075542778668
Chronos-2,2,0.04397076944218784,1.8500749633797948,1.848308242018372,1.3595250060290807,1.1016328129037822,0.7806646779388026,0.752,0.986,3.360781707763672,6.975509840965271,4.855343092114956,7.213330411805965
Chronos-2,3,0.10281451977003558,2.028093663064423,2.0346083012138414,1.4263969648081285,1.1172988827253059,0.8052264678102443,0.792,0.978,3.660563705444336,7.537805586814881,5.172228694337419,8.116129222131281
Chronos-2,4,0.1110123325725649,2.358041312842845,2.3656489682003587,1.5380666332120851,1.2102129791021332,0.8640972170705891,0.808,0.964,3.9191114501953126,8.013246169090271,5.597158000324497,8.684416351207094
Chronos-2,5,0.027391579217602637,2.9004833054038035,2.895432637405032,1.7015970843313737,1.3584723149451832,0.9684137269152097,0.754,0.978,4.141916244506836,8.424368185043335,6.144480908366659,8.86490364336039
