model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"SARIMA(1,0,0)(1,0,0)_12",1,0.06777061067597417,1.0876939725383898,1.0901114402647085,1.0440840197343835,0.8189764443945975,0.5900107544367844,0.752,0.92,2.463387636756461,3.7674262806211467,3.7904856775619415,5.15711092623308
"SARIMA(1,0,0)(1,0,0)_12",2,0.06682693605076558,1.7165197470200688,1.7175525469079649,1.3105542899506166,1.0424698025415098,0.7466740857906057,0.772,0.916,3.225064978314391,4.932311250863723,4.7474343141505875,6.6251289417355705
"SARIMA(1,0,0)(1,0,0)_12",3,0.09330573055592713,2.6009214404913212,2.604425556964912,1.6138232731513422,1.298782925246862,0.9252922386022248,0.73,0.904,3.694676429595023,5.650519987822733,5.8495672791056625,8.142421077002709
"SARIMA(1,0,0)(1,0,0)_12",4,0.1310642314694514,3.1526701379898565,3.1635426304845535,1.7786350470190768,1.439701285229731,1.0233584242407336,0.69,0.892,4.0218658928267,6.150913090446417,6.42353029710268,8.41988326323293
"SARIMA(1,0,0)(1,0,0)_12",5,0.09637067277746186,3.568464861529928,3.570615238378446,1.8896071650950221,1.528830396399597,1.0802513597711028,0.716,0.9,4.265023505637012,6.5227905680978155,6.726852762494854,9.22035370263432
"SARIMA(1,0,0)(1,0,0)_12",6,0.1224448307268004,3.88208938379912,3.8893179416032373,1.9721353760843188,1.5790583984316455,1.1265511039363036,0.706,0.906,4.453430314193455,6.810933916474001,7.0450718374241985,9.679359639301007
"SARIMA(1,0,0)(1,0,0)_12",avg_all,0.09629716870939675,2.6680599238947806,2.6725942257673037,1.60147319517246,1.2846365420406571,0.9153563277962922,0.7276666666666667,0.9063333333333333,3.6872414595538414,5.639149182387639,5.7638236946399894,7.87404292502327
Chronos-2,1,0.028182788098932647,1.3814435707482289,1.3794749531517632,1.1745105164074792,0.9423667985908224,0.6708856685078401,0.782,0.996,3.080906883239746,6.642127923488617,4.236008296508648,6.687902572871175
Chronos-2,2,-0.011609260888987602,2.2795348058323066,2.2751105111590295,1.5083469465474544,1.2142497147213829,0.8640049036453578,0.768,0.98,3.891207336425781,8.132393606185913,5.44530419281818,8.359718625640674
Chronos-2,3,0.053208331742168734,3.2937869334925782,3.2900304861923773,1.813844118493201,1.46497277793861,1.0371350053437125,0.762,0.97,4.426616607666015,9.17815718460083,6.655072234893371,9.753948299493086
Chronos-2,4,0.10752031429855105,3.9798763609547847,3.983477226219737,1.9958650320649782,1.6136579167723213,1.1466000713150764,0.732,0.976,4.8088359375,9.856013417243958,7.150990815331357,10.371561553359586
Chronos-2,5,0.05644626420099707,4.302099585061729,4.296681566633858,2.0728438355635617,1.6638405709114457,1.1792548372120455,0.772,0.974,5.074088256835937,10.36861023235321,7.519881948478275,11.633374912216505
Chronos-2,6,0.09723021462191772,4.7181715787081755,4.718188950186188,2.172139256628402,1.7010026108743048,1.2249074697398106,0.772,0.968,5.34370849609375,10.883677724838257,7.940602353624773,12.103447136627642
Chronos-2,avg_all,0.055163108678929935,3.3258188057996336,3.323827282257159,1.7895916176175126,1.4333483983014812,1.020464659293974,0.7646666666666667,0.9773333333333334,4.437560586293539,9.17683001478513,6.4913099736091,9.818325516701446
