model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"ARIMA(1, 0, 0)",1,-0.02756870206951825,1.1111007497137955,1.1096385815481653,1.0533938397143612,0.8181815521432662,0.5863691649187917,0.792,0.96,2.694300793811593,4.120577479178012,3.7394047411968465,5.262893216315919
"ARIMA(1, 0, 0)",2,-0.021427230994131727,1.6261638437555617,1.623370642296126,1.2741156314464264,1.026274450685963,0.7208717930195719,0.826,0.944,3.3029459989252508,5.0514199934071105,4.489315624735306,6.0901317174746605
"ARIMA(1, 0, 0)",3,-0.03516218086554891,2.0229964259119466,2.0201868120233444,1.4213327590762637,1.1273367934323466,0.8026805403121512,0.792,0.936,3.579479002122547,5.474340725881154,5.053486578624581,6.946460625548855
"ARIMA(1, 0, 0)",4,-0.103788421477444,2.3949633289430197,2.4009454387179163,1.5494984474719284,1.221219548379271,0.8708659648311396,0.782,0.916,3.7201789547026634,5.689522734235495,5.598318506007892,7.689046109244588
"ARIMA(1, 0, 0)",5,-0.12509174346680074,2.2841011324919114,2.295180874510496,1.5149854370621838,1.2065629919601755,0.8558710889298713,0.778,0.95,3.7963139783711606,5.805961204886441,5.3348135255207945,7.425555281295023
"ARIMA(1, 0, 0)",6,-0.005169902811644114,2.4983210581594952,2.4933511439382556,1.579034877365999,1.2557043999122344,0.8885123741438571,0.782,0.928,3.8393214308959647,5.871735427541014,5.574577753655121,7.814632114660504
"ARIMA(1, 0, 0)",7,-0.030062262977453475,2.6354842378146395,2.631117008994338,1.6220718260898122,1.2544871972175091,0.8972182350638366,0.774,0.936,3.8644504432997744,5.91016693556824,5.79643983518792,8.118803278807968
"ARIMA(1, 0, 0)",8,-0.03817608515663257,2.836592892435455,2.8323771201284744,1.6829667614449415,1.3280223753008826,0.9423983640185934,0.756,0.928,3.879554276028279,5.933266254372321,5.928716757141656,8.281430346372128
"ARIMA(1, 0, 0)",9,-0.0695179822333886,2.7448912838720316,2.7442342511580864,1.6565730443171187,1.287743664154167,0.9214549193294759,0.762,0.94,3.8888577742132546,5.947494727001139,5.877784977513602,8.243294984991817
"ARIMA(1, 0, 0)",10,-0.0764002825479846,2.8478345653641397,2.8479758994068205,1.6875947082776779,1.313002416663474,0.9410804682854123,0.744,0.926,3.894714191895306,5.956451344935098,5.993695842390108,8.435901988498319
"ARIMA(1, 0, 0)",11,-0.09021001724783857,3.021150490371623,3.023246036602738,1.738748410956208,1.3655974341805024,0.9778803939377803,0.728,0.922,3.898473201324342,5.962200253755111,6.192444531541274,8.777727638475124
"ARIMA(1, 0, 0)",12,-0.013659079404550472,2.8231401030215766,2.8176803932657157,1.6785947674366544,1.346308100571563,0.9468719367196171,0.75,0.938,3.9009288464178016,5.965955838837608,5.782025517992757,8.05748495900721
"ARIMA(1, 0, 0)",13,0.008245987675736427,2.6474747901557216,2.6422478368881563,1.6254992577322687,1.3180263936238665,0.9203525834628599,0.764,0.942,3.9025589805005763,5.968448913777464,5.608208651247857,7.847702487890003
"ARIMA(1, 0, 0)",14,-0.041733798985421164,2.715480765911061,2.711791514356995,1.64675180715158,1.2934767165517764,0.9240135990539058,0.768,0.926,3.903657106814525,5.970128353047541,5.918687061946553,8.297946908324574
"ARIMA(1, 0, 0)",15,0.08225791746935233,2.5903069949944553,2.59189274599086,1.6099356341142523,1.280987016471997,0.9064304516833693,0.78,0.938,3.9044068804646144,5.971275032892703,5.687450225373947,7.9989776666097265
"ARIMA(1, 0, 0)",16,0.01407263468131065,2.6665598423904275,2.661424761752519,1.6313873732968878,1.2848320447300816,0.9173071295250018,0.764,0.928,3.904925194438248,5.972067725709998,5.823676138561033,8.3132259672054
"ARIMA(1, 0, 0)",17,0.14882753222833212,2.552714287254664,2.5697584930293265,1.603046628463853,1.276956062694217,0.9028392797242579,0.778,0.932,3.90528762465132,5.972622014888553,5.613935520500616,7.776624040314673
"ARIMA(1, 0, 0)",18,0.11923673868562308,2.289541024632142,2.299179342435262,1.5163045018845198,1.2149550309346338,0.8565987218238874,0.82,0.938,3.905543747400864,5.9730137208317355,5.352951521871184,7.726815216129354
"ARIMA(1, 0, 0)",19,0.10292955960240327,2.583962897245068,2.5893894656905223,1.6091579989828602,1.2923951354784358,0.9072245009091859,0.776,0.944,3.9057265241103836,5.973293253686675,5.577586998812173,7.888817185242582
"ARIMA(1, 0, 0)",20,0.13348091075409269,2.7077598564863417,2.7201614903091054,1.6492912084617153,1.3056122997220108,0.9222038560385011,0.778,0.942,3.9058581456515693,5.973494551462944,5.7198976734565745,8.14799558459264
"ARIMA(1, 0, 0)",21,0.13463502511412917,2.5860540214729397,2.599008503417479,1.6121440703043506,1.2830640015852477,0.9050146404826723,0.78,0.94,3.905953727325626,5.973640731018869,5.598484957076147,7.869946042699105
"ARIMA(1, 0, 0)",22,0.13239370821565688,2.5573685702613194,2.5697819270958893,1.6030539376751767,1.2659409513627722,0.8996654075668821,0.76,0.944,3.9060236780729167,5.973747711454976,5.655652268647452,7.937346050603733
"ARIMA(1, 0, 0)",23,0.08636145741768322,2.4711519856420177,2.4736679829980384,1.5727898724871159,1.2351888337319006,0.8815330743967121,0.798,0.934,3.9060752396979823,5.973826568155576,5.565287752604191,7.823677664801865
"ARIMA(1, 0, 0)",24,0.05956587297929158,2.2819021609329355,2.2808864498348504,1.5102603914010493,1.1830956678420503,0.8467444035761484,0.81,0.944,3.906113499250876,5.973885081092363,5.36399790453623,7.5332612250682995
"ARIMA(1, 0, 0)",avg_all,0.014334985607718925,2.479042387884762,2.481187279849562,1.5686888830256336,1.2410404616387645,0.8809167871563953,0.77675,0.9365,3.7967353850161434,5.806605690734089,5.535285036089244,7.762737429173918
Chronos-2,1,-0.009022423806848026,1.096260231307256,1.0941491149759914,1.0460158292186554,0.8115948516262409,0.5823895522462841,0.778,0.962,2.6166591796875,4.565849620819092,3.6836248778665546,5.075105539627902
Chronos-2,2,0.00845549296007604,1.6033195255726056,1.6001843818826578,1.2649839453062863,1.0248496037030868,0.7167510868676646,0.806,0.966,3.247114166259766,5.567201632499695,4.433245295940576,6.126126395691561
Chronos-2,3,-0.0050867398647089085,2.1302766985847206,2.1260420201100034,1.4580953398560752,1.1544776094999667,0.8232709588213337,0.778,0.952,3.560977699279785,6.108470009803772,5.188580251377845,7.265279529905938
Chronos-2,4,-0.08442207813952667,2.5102899932237412,2.5123965005146887,1.5850541001854443,1.2567762263286244,0.8916148061144132,0.776,0.946,3.7497403564453125,6.412282829284668,5.7133730404224154,7.573969241830063
Chronos-2,5,-0.0993272659805562,2.544138392835869,2.548916021817374,1.596532499455421,1.272814679186531,0.8956105641177211,0.78,0.954,3.8478635177612306,6.562252132415772,5.554981033483252,7.960353279618333
Chronos-2,6,0.016942820225678928,2.7512999451997455,2.7460844044665467,1.6571313781551982,1.2969280086393657,0.9271668629099767,0.77,0.952,3.955462814331055,6.746165227890015,5.850510832440924,8.136678459251918
Chronos-2,7,-0.003829474000458114,2.9718033175490577,2.9658743757850803,1.7221714130089025,1.2981522580125084,0.9427137560848439,0.776,0.94,4.0300931224823,6.8689481601715086,6.154201227288154,8.696453659828043
Chronos-2,8,-0.009132459556423207,3.2830379746905134,3.276555300558681,1.810125769265407,1.4154287174020743,1.0062091215507356,0.756,0.942,4.084435455322265,6.973739332199097,6.4494344806226565,8.829203464186879
Chronos-2,9,-0.03373421071864198,3.2237763808605564,3.218466825071641,1.79400859113652,1.4002019694030572,0.991909995117038,0.75,0.958,4.115292549133301,7.0486088514328005,6.240091512543225,8.794059621903752
Chronos-2,10,-0.039161945161556536,3.2926531768082357,3.287601528403456,1.8131744340805869,1.3987960780688562,1.000419300855459,0.75,0.956,4.161634658813477,7.106692588806152,6.393149083018853,8.826063594758223
Chronos-2,11,-0.03939184448053138,3.4355230017879563,3.430203673195965,1.852080903523376,1.4591017944657485,1.0377265800989977,0.738,0.948,4.220831756591797,7.2300174522399905,6.555369599665341,8.860129607335702
Chronos-2,12,0.030820807792957938,3.28345887924894,3.2778418836834526,1.8104811193943593,1.4381732912369012,1.0102467230425427,0.762,0.954,4.251796287536621,7.296174752235412,6.240124752133678,8.836793525513622
Chronos-2,13,0.04499457356509886,3.1808866496801156,3.1765493880310545,1.7822876838577588,1.422046696390479,0.9986711223400332,0.77,0.964,4.259268188476563,7.328167581558228,6.087357732077857,8.596450079233234
Chronos-2,14,-0.009189701153546136,3.3145002513128063,3.3079557014174754,1.8187786290303378,1.4087069015894673,1.0036933540006345,0.794,0.946,4.292999145507813,7.395893507957458,6.349604886721307,8.766916843320704
Chronos-2,15,0.11731886158762238,3.2638140434549214,3.271050130652227,1.8086044704833135,1.424766625965895,1.0029269412806034,0.776,0.958,4.296311920166016,7.399573453903198,6.2822336970266575,8.879778760991984
Chronos-2,16,0.03335583117599941,3.3732297416780934,3.3675958936681822,1.8351010581622424,1.4418736031424524,1.019331090968547,0.778,0.948,4.311965911865235,7.44718671798706,6.403060715097881,8.756775588602613
